代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
600651	飞乐音响	10.13	0.00	电器仪表	90010	4.25	--  	--  	375450	103	          3.81	2.53	4.35	4.35	-0.837㈢	--  	163177792	  1.00	         42.86亿	上海	4.35	4.35	308577	66872	  4.61	4.35	0	  9.01	
300362	天翔环境	10.07	0.00	环境保护	22301	5.80	--  	--  	385658	2700	         12.42	14.36	6.67	6.67	-0.580㈢	--  	242307648	  0.78	         20.72亿	四川	6.00	6.28	209294	176364	  1.19	6.67	0	  7.70	
300198	纳川股份	10.06	3.05	塑料	19520	3.37	--  	--  	1084356	74733	         14.49	10.36	3.72	3.72	0.006㈢	   503.87	389107936	  1.89	         27.84亿	福建	3.45	3.59	577814	506542	  1.14	3.72	0	  7.69	
002596	海南瑞泽	10.06	1.14	其他建材	3457	8.70	--  	--  	791532	22651	          9.18	11.75	9.74	9.74	0.100㈢	    76.00	730288384	  1.35	         84.00亿	海南	8.80	9.23	355832	435700	  0.82	9.74	0	  7.69	
601068	中铝国际	10.03	0.00	建筑施工	12234	6.73	--  	--  	1380740	2013	         46.66	10.77	7.46	7.46	0.070㈢	    65.94	1006529024	  1.54	         22.07亿	北京	7.00	7.29	823684	557056	  1.48	7.46	0	  8.91	
300203	聚光科技	10.02	0.00	环境保护	568	26.37	--  	--  	318027	644	          7.04	9.18	28.77	28.77	0.928㈢	    23.26	898723328	  3.72	        129.94亿	浙江	26.50	28.26	158936	159090	  1.00	28.77	0	  7.65	
000711	京蓝科技	9.98	0.00	软件服务	74008	6.05	--  	--  	237667	845	          5.85	9.32	6.61	6.61	0.170㈢	    33.25	154655232	  1.04	         26.86亿	黑龙江	6.05	6.51	170765	66901	  2.55	6.61	0	  7.62	
300070	碧水源	9.97	0.10	环境保护	1543	9.61	--  	10.48	1258299	8844	          6.24	9.13	10.48	10.48	0.182㈢	    43.19	1291084160	  1.90	        211.22亿	北京	9.62	10.26	614239	644060	  0.95	10.47	12904	  7.60	
300197	铁汉生态	9.93	0.00	环境保护	33263	4.40	--  	--  	1381418	1480	          9.21	10.61	4.87	4.87	0.160㈢	    22.86	659535936	  1.76	         73.01亿	深圳	4.50	4.77	695340	686077	  1.01	4.87	0	  7.57	
000633	合金投资	9.93	0.00	综合类	10483	5.41	--  	--  	408487	464	         10.61	12.27	6.09	6.09	-0.024㈢	--  	244751616	  1.63	         23.45亿	新疆	5.53	5.99	310814	97673	  3.18	6.09	0	  7.56	
300355	蒙草生态	9.75	0.97	环境保护	8070	4.72	--  	5.19	1212431	20895	         10.27	9.96	5.19	5.18	0.203㈢	    19.16	613284800	  2.02	         61.17亿	内蒙	4.79	5.06	618254	594177	  1.04	5.18	27124	  7.38	
600728	佳都科技	9.63	1.35	软件服务	5714	10.81	--  	11.27	1894057	17753	         11.81	4.86	11.31	11.27	0.070㈢	   121.49	2108389760	  2.24	        180.79亿	广东	11.31	11.13	1041367	852690	  1.22	11.26	1122	  8.51	
600100	同方股份	9.28	-0.08	电脑设备	1542	10.52	--  	11.20	613050	3001	          2.07	7.23	11.26	11.19	-0.193㈢	--  	679055552	  3.44	        331.66亿	北京	10.52	11.08	255934	357115	  0.72	11.19	1809	  8.16	
000068	华控赛格	8.43	0.74	元器件	5013	6.22	--  	6.83	1111996	16922	         11.05	10.49	6.88	6.82	-0.048㈢	--  	730340800	  1.08	         68.65亿	深圳	6.42	6.57	506082	605914	  0.84	6.82	7032	  6.06	
300262	巴安水务	8.37	1.15	环境保护	289	8.12	--  	8.80	219675	4750	          5.27	9.48	8.89	8.80	0.234㈢	    28.19	188859616	  1.18	         36.68亿	上海	8.15	8.60	111614	108060	  1.03	8.79	305	  6.01	
300422	博世科	7.36	0.41	环境保护	1	11.36	--  	12.25	232831	1384	          8.80	10.43	12.55	12.25	0.492㈢	    18.67	281793760	  2.04	         32.41亿	广西	11.36	12.10	90290	142541	  0.63	12.24	961	  5.00	
300388	国祯环保	7.34	0.18	环境保护	357	10.58	--  	11.27	191762	929	          3.56	9.15	11.54	11.26	0.420㈢	    20.31	214819168	  2.49	         60.61亿	安徽	10.58	11.20	85010	106751	  0.80	11.26	249	  4.98	
