代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
000917	电广传媒	10.02	0.00	影视音像	53152	8.69	--  	--  	1586884	806	         12.26	6.32	9.22	9.22	-0.095㈢	--  	1442531328	  1.15	        119.37亿	湖南	8.99	9.09	924136	662748	  1.39	9.22	0	  7.66	
600975	新五丰	9.99	0.00	农业综合	26467	6.92	--  	--  	640840	503	          9.82	6.86	7.38	7.38	-0.067㈢	--  	463549280	  1.31	         48.17亿	湖南	6.92	7.23	292849	347990	  0.84	7.38	0	  8.86	
002567	唐人神	9.17	2.00	饲料	514	8.52	--  	9.18	389402	24466	          5.14	7.74	9.17	9.17	0.152㈢	    45.34	345921248	  1.11	         69.44亿	湖南	8.72	8.88	185993	203408	  0.91	9.17	1994	  6.80	
000722	湖南发展	8.64	-0.12	水力发电	234	7.32	--  	7.92	313570	1389	          6.76	9.60	8.02	7.92	0.169㈢	    35.14	245619120	  1.67	         36.76亿	湖南	7.34	7.83	142819	170750	  0.84	7.91	792	  6.28	
600031	三一重工	7.65	-0.08	工程机械	225	10.93	--  	11.55	2681238	19645	          3.45	8.02	11.79	11.54	0.630㈢	    13.83	3085041920	  2.42	        895.85亿	北京	11.00	11.51	1301433	1379805	  0.94	11.54	843	  6.53	
000908	景峰医药	6.40	0.19	化学制药	2392	5.09	--  	5.32	327695	1779	          4.63	8.20	5.50	5.32	0.133㈢	    30.08	174984128	  1.49	         37.61亿	湖南	5.13	5.34	169341	158354	  1.07	5.31	942	  4.04	
000989	九 芝 堂	6.30	0.57	中成药	398	11.65	--  	12.33	401019	10335	          5.05	6.30	12.38	12.32	0.385㈢	    24.02	481143840	  1.35	         97.84亿	湖南	11.66	12.00	178927	222091	  0.81	12.32	3201	  3.93	
000819	岳阳兴长	5.69	0.75	石油加工	81	10.14	--  	10.78	148675	853	          5.48	10.59	11.22	10.78	0.154㈢	    52.61	157101728	  2.18	         29.25亿	湖南	10.28	10.57	69833	78841	  0.89	10.77	1137	  3.32	
300267	尔康制药	4.28	0.00	化学制药	3458	3.97	--  	4.15	498714	1530	          3.64	6.30	4.22	4.14	0.144㈢	    21.51	204451472	  1.32	         56.67亿	湖南	4.00	4.10	258090	240624	  1.07	4.14	3539	  1.92	
002113	天润数娱	4.22	0.00	互联网	2702	3.81	--  	3.96	577744	4755	          7.00	6.60	4.06	3.95	0.031㈢	    94.78	227128080	  0.98	         32.58亿	湖南	3.81	3.93	237844	339899	  0.70	3.95	5320	  1.86	
600731	湖南海利	2.95	0.97	农药化肥	200	5.08	--  	5.23	63413	1380	          1.94	2.95	5.23	5.23	0.032㈢	   123.08	32808684	  1.23	         17.08亿	湖南	5.08	5.17	28462	34950	  0.81	5.20	295	  1.83	
300123	亚光科技	2.79	-0.20	船舶	292	13.31	--  	13.98	176549	1529	          5.75	6.84	14.24	13.98	0.157㈢	    66.85	243697488	  0.96	         42.94亿	湖南	13.60	13.80	93543	83005	  1.13	13.97	120	  0.43	
000430	张家界	2.78	0.17	旅游景点	244	5.76	--  	5.91	58991	528	          1.78	3.65	5.97	5.91	0.135㈢	    32.76	34714252	  1.72	         19.61亿	湖南	5.80	5.88	24657	34333	  0.72	5.90	157	  0.42	
000906	浙商中拓	2.49	0.17	批发业	223	5.64	--  	5.76	94905	412	          1.44	3.74	5.85	5.76	0.260㈢	    13.98	54788384	  1.38	         38.06亿	浙江	5.64	5.77	48351	46554	  1.04	5.75	56	  0.13	
000548	湖南投资	2.22	0.00	路桥	510	4.97	--  	5.08	175256	564	          3.51	5.04	5.22	5.07	0.052㈢	    72.52	89474192	  1.24	         25.31亿	湖南	5.00	5.11	83695	91560	  0.91	5.07	25	 -0.15	
300216	千山药机	2.18	-0.20	医疗保健	2853	4.44	--  	4.70	717584	4695	         25.48	10.46	4.92	4.69	-1.117㈢	--  	332579104	  1.33	         13.21亿	湖南	4.44	4.63	345434	372149	  0.93	4.69	2904	 -0.19	
600476	湘邮科技	2.05	-0.06	软件服务	142	14.61	--  	14.90	80915	1949	          5.02	3.90	15.18	14.90	-0.068㈢	--  	121100112	  0.82	         24.00亿	湖南	14.75	14.97	39130	41784	  0.94	14.89	857	  0.93	
002155	湖南黄金	2.04	0.24	黄金	2180	8.18	--  	8.52	381768	4984	          3.18	4.20	8.53	8.51	0.149㈢	    42.81	319952448	  1.24	        102.28亿	湖南	8.20	8.38	182853	198915	  0.92	8.51	1206	 -0.33	
002549	凯美特气	1.97	0.32	环境保护	539	6.10	--  	6.21	164963	2571	          2.66	3.45	6.31	6.20	0.114㈢	    40.91	102823880	  0.98	         38.45亿	湖南	6.12	6.23	83777	81186	  1.03	6.20	291	 -0.39	
000157	中联重科	1.89	-0.22	工程机械	5505	4.23	--  	4.32	809602	4652	          1.29	4.26	4.41	4.31	0.170㈢	    19.37	351305440	  1.69	        271.17亿	湖南	4.24	4.34	342897	466705	  0.73	4.31	1844	 -0.47	
