代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
601865	福莱特	10.04	0.00	玻璃	182721	8.22	--  	--  	5411	135	          0.36	0.00	8.22	8.22	0.149㈢	    41.47	4448196	  1.13	         12.33亿	浙江	8.22	8.22	4543	868	  5.23	8.22	0	  8.92	
300538	同益股份	10.01	0.00	批发业	42837	30.11	--  	--  	11181	101	          4.66	0.00	30.11	30.11	0.300㈢	    73.28	33667316	  0.64	          7.23亿	深圳	30.11	30.11	10531	650	 16.20	30.11	0	  7.65	
002189	利达光电	9.99	0.84	元器件	1205	19.01	--  	--  	183487	1781	          9.33	7.34	20.37	20.37	0.220㈢	    82.09	366178336	  1.62	         40.07亿	河南	19.69	19.96	95982	87504	  1.10	20.37	0	  7.62	
002564	天沃科技	9.98	0.00	化工机械	84761	5.13	--  	--  	453538	863	          7.54	11.52	5.73	5.73	0.200㈢	    23.48	254045504	  2.41	         34.49亿	江苏	5.20	5.60	212722	240815	  0.88	5.73	0	  7.62	
002518	科士达	9.98	0.00	电器仪表	7118	10.22	--  	--  	325478	545	          5.83	9.98	11.24	11.24	0.381㈢	    22.12	355087872	  1.60	         62.71亿	深圳	10.42	10.91	153199	172279	  0.89	11.24	0	  7.62	
002050	三花智控	7.89	0.25	机械基件	339	14.77	--  	15.88	530506	3987	          2.85	9.59	16.18	15.87	0.480㈢	    24.78	840645248	  3.44	        295.30亿	浙江	14.77	15.85	295460	235046	  1.26	15.87	761	  5.52	
002371	北方华创	7.44	0.36	专用机械	7	52.00	--  	55.58	154521	1898	          4.30	9.47	56.90	55.58	0.368㈢	   113.21	851925248	  1.43	        199.72亿	北京	52.98	55.13	81285	73236	  1.11	55.57	225	  5.08	
002273	水晶光电	7.10	0.69	元器件	141	12.35	--  	13.12	569146	5654	          7.00	8.49	13.39	13.12	0.470㈢	    20.97	726853440	  1.73	        106.65亿	浙江	12.49	12.77	258807	310339	  0.83	13.11	4908	  4.74	
603063	禾望电气	7.10	0.19	电气设备	2521	9.97	--  	10.57	359696	6033	         14.09	8.22	10.78	10.56	0.103㈢	    76.69	372865440	  1.60	         26.96亿	深圳	10.35	10.37	189279	170417	  1.11	10.56	607	  5.98	
300125	易世达	5.80	0.59	电气设备	14	17.11	--  	18.60	139019	2080	          7.91	12.68	19.34	18.60	0.207㈣	    89.73	257043744	  1.70	         32.71亿	辽宁	17.20	18.49	66428	72590	  0.92	18.59	271	  3.44	
002335	科华恒盛	5.60	0.22	电气设备	243	17.18	--  	18.15	92291	1324	          4.10	7.70	18.50	18.10	0.396㈢	    34.24	164343392	  2.03	         40.77亿	福建	17.18	17.81	38252	54039	  0.71	18.10	32	  3.24	
002008	大族激光	4.97	0.65	电器仪表	7	40.23	--  	42.00	388593	1994	          3.91	5.92	42.60	42.00	1.550㈢	    20.29	1618060672	  1.38	        417.19亿	深圳	40.25	41.64	208377	180215	  1.16	41.99	1023	  2.61	
002139	拓邦股份	4.81	0.18	元器件	4049	5.42	--  	5.66	492331	2170	          6.28	6.30	5.76	5.66	0.200㈢	    22.25	277222240	  1.45	         44.38亿	深圳	5.45	5.63	225113	267218	  0.84	5.65	5887	  2.45	
603507	振江股份	4.58	0.47	钢加工	7	26.16	--  	27.62	22714	284	          2.83	5.53	27.62	27.62	0.490㈢	    43.32	61070428	  1.50	         22.20亿	江苏	26.43	26.89	7476	15238	  0.49	27.61	68	  3.46	
002121	科陆电子	4.47	0.75	电器仪表	1031	5.20	--  	5.37	197683	5183	          2.18	3.50	5.38	5.37	0.014㈢	   286.34	104918840	  1.14	         48.63亿	深圳	5.25	5.31	93226	104457	  0.89	5.36	181	  2.11	
300450	先导智能	4.26	-0.63	专用机械	49	34.34	--  	35.71	215739	1265	          4.44	5.96	36.38	35.71	0.620㈢	    43.16	771617280	  1.12	        173.35亿	江苏	34.49	35.77	101404	114335	  0.89	35.70	13	  1.90	
000040	东旭蓝天	4.18	0.37	新型电力	2075	7.93	--  	8.23	728186	7155	          6.87	4.43	8.28	8.23	1.050㈢	     6.53	592916608	  1.56	         87.26亿	深圳	7.93	8.14	327378	400807	  0.82	8.22	2158	  1.81	
603185	上机数控	4.15	0.34	机床制造	591	55.87	--  	58.69	89335	1181	         28.36	6.44	59.50	58.68	1.374㈢	    32.03	513334816	  1.54	         18.48亿	江苏	56.68	57.46	43343	45992	  0.94	58.68	1	  3.03	
002442	龙星化工	3.98	0.00	化工原料	1036	7.54	--  	7.84	149343	2781	          3.11	4.38	7.87	7.83	0.277㈣	    28.32	115165544	  1.65	         37.55亿	河北	7.58	7.71	69039	80304	  0.86	7.83	471	  1.62	
300128	锦富技术	3.88	-0.19	元器件	796	4.70	--  	5.10	1461790	17309	         13.72	12.45	5.31	5.09	-0.014㈢	--  	726079040	  1.12	         54.24亿	江苏	4.91	4.97	679669	782121	  0.87	5.09	5639	  1.51	
002019	亿帆医药	3.87	0.34	化学制药	701	11.42	--  	11.81	331615	1628	          4.07	5.81	12.08	11.80	0.589㈢	    15.02	392937216	  1.62	         96.03亿	浙江	11.42	11.85	152063	179551	  0.85	11.80	826	  1.51	
603366	日出东方	3.84	0.21	家用电器	913	4.70	--  	4.88	216460	3978	          2.71	5.33	4.95	4.87	-0.053㈢	--  	104811328	  0.84	         38.96亿	江苏	4.75	4.84	100062	116398	  0.86	4.87	4852	  2.72	
300757	罗博特科	3.79	-0.07	专用机械	270	68.00	--  	71.00	50781	584	         25.39	6.55	72.48	70.99	0.799㈢	    66.67	355806720	  1.06	         14.20亿	江苏	68.00	70.07	22983	27798	  0.83	70.99	26	  1.42	
300376	易事特	3.71	0.17	电气设备	509	5.62	--  	5.87	489475	3343	          2.13	7.95	6.07	5.87	0.239㈢	    18.43	287595904	  1.46	        134.98亿	广东	5.66	5.88	243351	246123	  0.99	5.86	236	  1.35	
300751	迈为股份	3.63	-0.06	专用机械	129	165.00	--  	172.86	15371	114	         11.82	6.07	175.13	172.86	4.260㈣	    52.59	261477600	  0.96	         22.47亿	江苏	167.53	170.12	6255	9115	  0.69	172.80	24	  1.26	
600273	嘉化能源	3.41	0.30	化工原料	98	9.66	--  	10.01	334278	4831	          2.36	6.40	10.28	10.01	0.580㈢	    12.58	332675648	  1.23	        141.51亿	浙江	9.68	9.95	143448	190829	  0.75	10.00	249	  2.29	
300141	和顺电气	3.30	0.64	电气设备	451	9.11	--  	9.39	115806	1044	          7.06	4.07	9.48	9.38	0.001㈢	  5613.49	108080776	  0.94	         15.38亿	江苏	9.22	9.33	56670	59135	  0.96	9.38	137	  0.94	
002499	科林环保	3.00	0.24	环境保护	107	8.07	--  	8.27	67353	212	          3.56	4.99	8.47	8.25	0.118㈢	    52.40	55814112	  1.26	         15.59亿	江苏	8.07	8.29	30330	37023	  0.82	8.25	28	  0.63	
300317	珈伟新能	2.55	0.50	半导体	231	5.90	--  	6.04	301284	9248	          4.59	2.38	6.04	6.03	0.013㈢	   341.58	180142416	  0.92	         39.57亿	深圳	5.95	5.98	153399	147884	  1.04	6.03	2242	  0.19	
