代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
600839	四川长虹	10.10	0.00	家用电器	319825	3.13	--  	--  	880363	3236	          1.91	1.05	3.16	3.16	0.044㈢	    53.35	277916064	  1.01	        145.81亿	四川	3.13	3.16	753051	127312	  5.92	3.16	0	  8.98	
300353	东土科技	10.04	0.00	通信设备	11286	11.03	--  	--  	535813	609	         15.26	9.40	12.06	12.06	0.088㈢	   102.92	631186752	  1.97	         42.34亿	北京	11.26	11.78	277638	258175	  1.08	12.06	0	  7.67	
000977	浪潮信息	10.02	0.00	电脑设备	109822	22.27	--  	--  	1503209	1426	         11.66	6.68	23.71	23.71	0.289㈢	    61.60	3495555328	  2.39	        305.68亿	山东	23.40	23.25	833436	669773	  1.24	23.71	0	  7.66	
603656	泰禾光电	10.01	0.00	专用机械	9724	16.70	--  	--  	35796	115	          5.65	8.68	18.13	18.13	0.441㈢	    30.84	64094768	  2.37	         11.48亿	安徽	16.74	17.91	25858	9937	  2.60	18.13	0	  8.89	
600728	佳都科技	9.63	1.35	软件服务	5714	10.81	--  	11.27	1894057	17753	         11.81	4.86	11.31	11.27	0.070㈢	   121.49	2108389760	  2.24	        180.79亿	广东	11.31	11.13	1041367	852690	  1.22	11.26	1122	  8.51	
002841	视源股份	9.16	0.17	元器件	1	70.43	--  	75.54	39189	165	          5.89	8.22	76.12	75.54	1.310㈢	    43.72	292199008	  2.24	         50.29亿	广东	70.50	74.56	16479	22709	  0.73	75.50	78	  6.80	
300678	中科信息	5.22	0.60	软件服务	296	24.20	--  	25.21	130623	821	         15.68	8.98	26.35	25.20	0.074㈢	   256.81	330376032	  1.19	         21.00亿	四川	24.20	25.29	59692	70931	  0.84	25.20	21	  2.85	
300379	东方通	5.13	-0.13	软件服务	226	20.08	--  	20.91	169304	1290	          8.81	8.05	21.68	20.90	0.081㈢	   193.29	353326464	  1.15	         40.18亿	北京	20.08	20.87	81599	87704	  0.93	20.90	38	  2.77	
002761	多喜爱	4.92	0.29	纺织	609	16.38	--  	17.29	168917	2411	          8.32	9.65	17.97	17.28	0.146㈢	    88.79	290190080	  1.11	         35.07亿	湖南	16.39	17.18	79199	89717	  0.88	17.28	137	  2.55	
300661	圣邦股份	4.33	0.13	元器件	2	88.80	--  	92.32	10135	53	          2.38	6.58	94.62	92.31	0.910㈢	    76.25	93141640	  0.96	         39.27亿	北京	88.80	91.90	5180	4954	  1.05	92.31	8	  1.96	
002429	兆驰股份	4.30	0.00	家用电器	14687	2.89	--  	2.91	1232116	6157	          3.10	6.45	3.07	2.91	0.079㈢	    27.73	365148032	  1.16	        115.61亿	深圳	2.97	2.96	632883	599232	  1.06	2.90	2973	  1.94	
600718	东软集团	4.22	0.08	软件服务	301	12.17	--  	12.60	451298	1377	          3.63	6.53	12.96	12.60	0.100㈢	    94.27	569866368	  1.48	        156.54亿	辽宁	12.51	12.63	213783	237514	  0.90	12.59	952	  3.10	
002558	巨人网络	4.21	0.00	互联网	387	21.43	--  	22.50	167750	2574	          3.93	6.99	22.94	22.50	0.491㈢	    34.40	372557408	  1.10	         96.10亿	重庆	21.80	22.21	78140	89609	  0.87	22.49	5121	  1.85	
