代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300130	新国都	10.03	0.00	电脑设备	29108	16.68	--  	--  	61220	132	          1.83	5.51	17.56	17.56	0.310㈢	    52.04	106249024	  0.34	         58.82亿	深圳	16.68	17.36	46008	15212	  3.02	17.56	0	  7.66	
002017	东信和平	10.01	0.00	通信设备	41911	14.70	--  	--  	223620	290	          6.48	5.61	15.49	15.49	0.089㈢	   131.12	340768896	  0.45	         53.46亿	广东	14.84	15.24	101038	122581	  0.82	15.49	0	  7.65	
002512	达华智能	8.54	1.42	元器件	264	5.25	--  	5.73	761013	11084	          8.62	10.44	5.80	5.72	-0.368㈢	--  	423397440	  1.57	         50.52亿	福建	5.25	5.56	329153	431859	  0.76	5.72	785	  6.17	
600571	信雅达	6.70	-0.35	软件服务	320	10.13	--  	10.99	663519	5149	         15.39	11.65	11.33	10.99	0.021㈢	   390.30	717282304	  1.66	         47.38亿	浙江	10.35	10.81	340420	323098	  1.05	10.98	2194	  5.58	
002537	海联金汇	5.29	0.77	汽车整车	402	11.10	--  	11.76	141209	2903	          1.18	6.09	11.78	11.75	0.231㈢	    38.12	162097472	  1.25	        140.41亿	山东	11.17	11.48	61058	80151	  0.76	11.75	596	  2.92	
002869	金溢科技	4.42	0.43	通信设备	8	18.17	--  	18.89	49119	669	         10.81	8.57	19.72	18.89	-0.021㈢	--  	92816392	  2.09	          8.59亿	深圳	18.25	18.90	22514	26604	  0.85	18.85	33	  2.06	
000701	厦门信达	3.63	0.00	综合类	675	6.91	--  	7.14	148173	1047	          3.64	5.52	7.29	7.14	-0.060㈢	    35.00	105587368	  1.82	         29.03亿	福建	6.96	7.13	69654	78518	  0.89	7.13	175	  1.26	
300096	易联众	3.12	0.52	软件服务	453	11.31	--  	11.57	183841	1602	          4.88	7.04	12.10	11.57	-0.040㈢	--  	214131200	  0.81	         43.56亿	福建	11.34	11.65	88737	95104	  0.93	11.56	70	  0.75	
600584	长电科技	2.46	0.51	半导体	1301	13.32	--  	13.76	775643	7349	          7.49	7.45	14.32	13.75	0.011㈢	   946.01	1068596288	  1.03	        142.44亿	江苏	13.65	13.78	379338	396305	  0.96	13.75	117	  1.34	
002197	证通电子	2.33	-0.10	电器仪表	243	8.62	--  	8.80	233795	2742	          5.38	5.47	9.09	8.79	0.071㈢	    93.30	205514848	  0.91	         38.20亿	深圳	8.63	8.79	113957	119838	  0.95	8.79	534	 -0.04	
002177	御银股份	2.21	-0.23	电脑设备	3834	4.09	--  	4.18	520020	3977	          8.07	6.37	4.35	4.17	0.003㈢	   905.94	218404096	  0.90	         26.88亿	广东	4.19	4.20	264225	255794	  1.03	4.17	2765	 -0.16	
600797	浙大网新	1.99	0.33	软件服务	1307	9.13	--  	9.24	552178	3066	          5.44	4.75	9.56	9.23	0.150㈢	    46.11	514946496	  1.04	         93.71亿	浙江	9.16	9.33	264346	287832	  0.92	9.23	753	  0.87	
002609	捷顺科技	1.91	0.14	软件服务	1195	6.81	--  	6.93	128925	1300	          3.28	3.68	7.06	6.92	0.075㈢	    68.80	89309616	  1.16	         27.16亿	深圳	6.90	6.93	66566	62359	  1.07	6.92	1707	 -0.45	
002156	通富微电	1.80	0.44	半导体	1091	8.92	--  	9.05	385503	2456	          3.34	4.05	9.28	9.05	0.140㈢	    48.65	350935168	  1.22	        104.39亿	江苏	9.03	9.10	186508	198995	  0.94	9.04	427	 -0.56	
002049	紫光国微	1.62	0.24	元器件	560	37.83	--  	38.21	352403	2741	          5.83	4.41	39.49	38.21	0.474㈢	    60.44	1360887680	  1.21	        231.02亿	河北	38.29	38.62	176809	175594	  1.01	38.20	79	 -0.74	
