代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
600651	飞乐音响	10.13	0.00	电器仪表	90010	4.25	--  	--  	375450	103	          3.81	2.53	4.35	4.35	-0.837㈢	--  	163177792	  1.00	         42.86亿	上海	4.35	4.35	308577	66872	  4.61	4.35	0	  9.01	
300538	同益股份	10.01	0.00	批发业	42837	30.11	--  	--  	11181	101	          4.66	0.00	30.11	30.11	0.300㈢	    73.28	33667316	  0.64	          7.23亿	深圳	30.11	30.11	10531	650	 16.20	30.11	0	  7.65	
600100	同方股份	9.28	-0.08	电脑设备	1542	10.52	--  	11.20	613050	3001	          2.07	7.23	11.26	11.19	-0.193㈢	--  	679055552	  3.44	        331.66亿	北京	10.52	11.08	255934	357115	  0.72	11.19	1809	  8.16	
603679	华体科技	5.59	0.11	电气设备	114	25.31	--  	26.64	29398	395	          7.32	7.97	27.32	26.62	0.468㈢	    42.69	78110888	  1.48	         10.70亿	四川	25.32	26.57	13088	16310	  0.80	26.62	22	  4.47	
300162	雷曼股份	5.43	1.01	元器件	572	5.72	--  	6.02	219252	3892	         10.01	7.88	6.17	6.02	0.042㈢	   108.07	130507032	  1.28	         13.19亿	深圳	5.72	5.95	101331	117921	  0.86	6.01	281	  3.06	
002449	国星光电	5.24	0.23	半导体	1760	12.41	--  	13.06	258941	2647	          4.26	5.56	13.10	13.06	0.620㈢	    15.80	331366400	  1.25	         79.34亿	广东	12.41	12.80	122784	136156	  0.90	13.05	525	  2.87	
002076	雪 莱 特	4.84	0.82	家用电器	1785	3.51	--  	3.69	421045	9719	          9.45	5.41	3.70	3.68	-0.071㈢	--  	151757472	  1.52	         16.39亿	广东	3.53	3.60	159926	261118	  0.61	3.68	4841	  2.48	
002429	兆驰股份	4.30	0.00	家用电器	14687	2.89	--  	2.91	1232116	6157	          3.10	6.45	3.07	2.91	0.079㈢	    27.73	365148032	  1.16	        115.61亿	深圳	2.97	2.96	632883	599232	  1.06	2.90	2973	  1.94	
002745	木林森	4.04	0.78	半导体	5	14.72	--  	15.44	398150	3522	          7.66	7.28	15.80	15.44	0.510㈢	    24.60	603862336	  1.65	         80.27亿	广东	14.84	15.17	210468	187681	  1.12	15.42	693	  1.68	
000701	厦门信达	3.63	0.00	综合类	675	6.91	--  	7.14	148173	1047	          3.64	5.52	7.29	7.14	-0.060㈢	    35.00	105587368	  1.82	         29.03亿	福建	6.96	7.13	69654	78518	  0.89	7.13	175	  1.26	
600203	福日电子	2.96	0.54	元器件	587	5.42	--  	5.56	228284	1999	          6.17	4.26	5.65	5.56	0.043㈢	    96.25	126348064	  0.95	         20.58亿	福建	5.45	5.53	97555	130729	  0.75	5.55	211	  1.84	
000627	天茂集团	2.62	1.09	保险	1140	7.13	--  	7.46	734604	4348	          1.49	9.23	7.80	7.45	0.205㈢	    27.28	545982336	  1.39	        368.08亿	湖北	7.26	7.43	348871	385733	  0.90	7.45	2537	  0.25	
300317	珈伟新能	2.55	0.50	半导体	231	5.90	--  	6.04	301284	9248	          4.59	2.38	6.04	6.03	0.013㈢	   341.58	180142416	  0.92	         39.57亿	深圳	5.95	5.98	153399	147884	  1.04	6.03	2242	  0.19	
600584	长电科技	2.46	0.51	半导体	1301	13.32	--  	13.76	775643	7349	          7.49	7.45	14.32	13.75	0.011㈢	   946.01	1068596288	  1.03	        142.44亿	江苏	13.65	13.78	379338	396305	  0.96	13.75	117	  1.34	
300423	鲁亿通	2.46	0.25	电气设备	240	27.36	--  	27.96	85246	550	          7.80	6.74	29.20	27.95	1.230㈢	    18.25	241265152	  1.55	         30.56亿	山东	27.78	28.30	43650	41595	  1.05	27.95	109	  0.09	
600460	士兰微	2.41	0.44	半导体	2129	11.35	--  	11.48	849638	6296	          6.48	3.93	11.79	11.47	0.115㈢	    74.56	984232512	  1.37	        150.49亿	浙江	11.77	11.58	416767	432871	  0.96	11.47	1399	  1.29	
002197	证通电子	2.33	-0.10	电器仪表	243	8.62	--  	8.80	233795	2742	          5.38	5.47	9.09	8.79	0.071㈢	    93.30	205514848	  0.91	         38.20亿	深圳	8.63	8.79	113957	119838	  0.95	8.79	534	 -0.04	
002241	歌尔股份	2.26	0.11	元器件	1258	8.96	--  	9.06	614745	4357	          2.26	3.28	9.25	9.05	0.264㈢	    25.73	558526336	  1.05	        246.56亿	山东	8.98	9.09	304523	310222	  0.98	9.05	1078	 -0.10	
300340	科恒股份	2.12	-0.16	元器件	1994	17.13	--  	17.34	177103	1520	         11.57	6.54	18.24	17.33	0.240㈢	    54.17	312690528	  1.33	         26.52亿	广东	18.20	17.66	95360	81743	  1.17	17.33	92	 -0.24	
600363	联创光电	1.88	0.00	元器件	477	9.55	--  	9.74	199184	1797	          4.49	3.25	9.86	9.73	0.395㈢	    18.47	193355056	  1.12	         43.15亿	江西	9.59	9.71	106694	92489	  1.15	9.73	599	  0.76	
002922	伊戈尔	1.85	0.23	电气设备	99	17.23	--  	17.59	35147	1043	          5.08	2.37	17.64	17.59	0.256㈢	    51.46	61336376	  1.20	         12.16亿	广东	17.40	17.45	17499	17647	  0.99	17.58	39	 -0.51	
002137	麦达数字	1.73	0.00	互联网	1763	7.03	--  	7.06	217971	1461	          5.97	5.63	7.42	7.05	0.133㈢	    39.62	156010592	  1.24	         25.72亿	深圳	7.31	7.16	120967	97004	  1.25	7.05	543	 -0.63	
300232	洲明科技	1.72	0.15	半导体	52	12.87	--  	13.05	102626	370	          2.27	7.10	13.78	13.04	0.425㈢	    22.99	136323488	  1.34	         59.03亿	深圳	12.94	13.28	60871	41754	  1.46	13.04	34	 -0.65	
603303	得邦照明	1.51	0.98	家用电器	1117	13.15	--  	13.46	29499	1247	          2.89	3.40	13.60	13.45	0.512㈢	    19.69	39540724	  1.04	         13.72亿	浙江	13.25	13.40	14428	15071	  0.96	13.45	247	  0.39	
300241	瑞丰光电	1.51	0.00	半导体	605	5.33	--  	5.40	274678	2724	          6.50	3.95	5.54	5.39	0.190㈢	    22.33	149771104	  0.74	         22.79亿	深圳	5.33	5.45	147307	127370	  1.16	5.39	1585	 -0.86	
002654	万润科技	1.48	0.00	半导体	4471	4.75	--  	4.80	183071	1293	          3.18	3.38	4.91	4.80	0.155㈢	    23.15	88432648	  0.73	         27.61亿	深圳	4.75	4.83	96201	86869	  1.11	4.79	1422	 -0.88	
002229	鸿博股份	1.39	0.00	广告包装	1891	7.85	--  	8.00	363835	4606	          8.84	4.18	8.18	8.00	-0.011㈢	--  	292515456	  1.03	         32.94亿	福建	7.97	8.04	163980	199854	  0.82	7.99	801	 -0.97	
300671	富满电子	1.32	0.05	半导体	195	19.04	--  	19.24	49198	506	          6.26	2.85	19.58	19.23	0.344㈢	    41.92	95135424	  0.96	         15.12亿	深圳	19.24	19.34	25532	23666	  1.08	19.23	70	 -1.05	
300708	聚灿光电	1.24	0.18	半导体	17	11.25	--  	11.41	81335	735	          7.14	3.02	11.59	11.41	-0.320㈢	--  	92953208	  0.97	         13.01亿	江苏	11.29	11.43	39542	41793	  0.95	11.40	195	 -1.12	
300269	联建光电	1.24	-0.16	半导体	690	5.70	--  	5.74	142140	1605	          4.04	3.00	5.87	5.73	0.310㈢	    13.46	82246736	  1.00	         20.14亿	深圳	5.73	5.79	58943	83196	  0.71	5.73	2737	 -1.13	
600111	北方稀土	1.21	0.09	小金属	1977	10.78	--  	10.92	1293889	12877	          3.56	3.90	11.20	10.91	0.104㈢	    78.36	1420546432	  0.89	        396.37亿	内蒙	10.94	10.98	658360	635528	  1.04	10.91	2067	  0.08	
300296	利亚德	1.15	-0.22	半导体	3045	8.69	--  	8.79	708503	4839	          3.91	4.61	9.09	8.78	0.372㈢	    17.71	632113664	  1.08	        158.93亿	北京	8.83	8.92	358887	349616	  1.03	8.78	706	 -1.21	
600360	华微电子	1.13	0.16	半导体	1267	6.20	--  	6.24	333424	1200	          4.49	2.59	6.36	6.24	0.100㈢	    45.00	209167872	  1.18	         46.31亿	吉林	6.21	6.27	161349	172074	  0.94	6.23	852	  0.01	
002005	德豪润达	1.08	0.00	家用电器	6687	2.78	--  	2.82	578405	4275	          3.60	6.09	2.95	2.82	0.008㈢	   272.35	164574304	  0.86	         45.37亿	广东	2.79	2.85	281066	297339	  0.95	2.81	1782	 -1.29	
600703	三安光电	1.07	0.14	半导体	3636	14.02	--  	14.19	1272194	5819	          3.12	4.35	14.63	14.18	0.636㈢	    16.72	1820013696	  1.10	        578.32亿	湖北	14.17	14.31	598354	673840	  0.89	14.18	1373	 -0.05	
300650	太龙照明	1.06	0.00	电气设备	127	15.06	--  	15.19	18493	73	          4.60	4.19	15.69	15.19	0.420㈢	    27.13	28352446	  1.17	          6.11亿	福建	15.09	15.33	8726	9767	  0.89	15.18	65	 -1.30	
