代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
600100	同方股份	9.28	-0.08	电脑设备	1542	10.52	--  	11.20	613050	3001	          2.07	7.23	11.26	11.19	-0.193㈢	--  	679055552	  3.44	        331.66亿	北京	10.52	11.08	255934	357115	  0.72	11.19	1809	  8.16	
000068	华控赛格	8.43	0.74	元器件	5013	6.22	--  	6.83	1111996	16922	         11.05	10.49	6.88	6.82	-0.048㈢	--  	730340800	  1.08	         68.65亿	深圳	6.42	6.57	506082	605914	  0.84	6.82	7032	  6.06	
002450	ST康得新	5.04	0.00	化工原料	296424	6.88	--  	--  	24844	481	          0.08	0.00	6.88	6.88	0.622㈢	     8.30	17092864	  0.02	        222.48亿	江苏	6.88	6.88	23202	1642	 14.13	6.88	0	  2.67	
002139	拓邦股份	4.81	0.18	元器件	4049	5.42	--  	5.66	492331	2170	          6.28	6.30	5.76	5.66	0.200㈢	    22.25	277222240	  1.45	         44.38亿	深圳	5.45	5.63	225113	267218	  0.84	5.65	5887	  2.45	
002443	金洲管道	4.80	0.92	钢加工	8482	6.28	--  	6.56	196600	2045	          3.87	8.32	6.80	6.55	0.210㈢	    23.34	128144376	  1.54	         33.24亿	浙江	6.36	6.52	93571	103028	  0.91	6.55	236	  2.44	
002886	沃特股份	4.77	0.42	塑料	314	18.30	--  	19.12	77961	1147	         15.72	7.02	19.58	19.11	0.198㈢	    72.34	147849648	  1.68	          9.48亿	深圳	18.30	18.96	34244	43716	  0.78	19.11	23	  2.41	
002442	龙星化工	3.98	0.00	化工原料	1036	7.54	--  	7.84	149343	2781	          3.11	4.38	7.87	7.83	0.277㈣	    28.32	115165544	  1.65	         37.55亿	河北	7.58	7.71	69039	80304	  0.86	7.83	471	  1.62	
300409	道氏技术	3.89	0.17	陶瓷	476	16.46	--  	17.38	198564	962	          8.45	10.35	18.19	17.37	0.550㈢	    27.51	344969248	  1.12	         40.82亿	广东	16.76	17.37	98190	100374	  0.98	17.37	30	  1.52	
300128	锦富技术	3.88	-0.19	元器件	796	4.70	--  	5.10	1461790	17309	         13.72	12.45	5.31	5.09	-0.014㈢	--  	726079040	  1.12	         54.24亿	江苏	4.91	4.97	679669	782121	  0.87	5.09	5639	  1.51	
002404	嘉欣丝绸	3.19	0.62	纺织	1137	6.25	--  	6.48	52593	4505	          1.32	3.51	6.47	6.47	0.177㈢	    27.35	33420546	  1.89	         25.81亿	浙江	6.30	6.35	23576	29017	  0.81	6.47	429	  0.83	
002319	乐通股份	2.81	0.34	染料涂料	2196	11.37	--  	11.71	103404	3301	          5.17	3.34	11.75	11.70	0.013㈢	   694.50	119725920	  0.99	         23.40亿	广东	11.40	11.58	49260	54143	  0.91	11.70	889	  0.45	
600735	新华锦	2.57	0.31	商贸代理	135	6.23	--  	6.39	234767	3182	          6.24	6.43	6.63	6.38	0.155㈢	    30.84	149678576	  1.25	         23.99亿	山东	6.27	6.38	112719	122047	  0.92	6.38	249	  1.45	
300317	珈伟新能	2.55	0.50	半导体	231	5.90	--  	6.04	301284	9248	          4.59	2.38	6.04	6.03	0.013㈢	   341.58	180142416	  0.92	         39.57亿	深圳	5.95	5.98	153399	147884	  1.04	6.03	2242	  0.19	
002340	格林美	2.33	0.21	小金属	4800	4.76	--  	4.84	1471553	11587	          3.89	4.03	4.95	4.83	0.130㈢	    29.04	715116992	  1.15	        182.75亿	深圳	4.76	4.86	721628	749925	  0.96	4.83	4130	 -0.03	
600503	华丽家族	2.27	0.25	区域地产	2561	3.99	--  	4.05	577992	4039	          3.61	3.54	4.13	4.05	0.022㈢	   135.05	234816432	  0.96	         64.89亿	上海	4.00	4.06	274800	303192	  0.91	4.04	3500	  1.15	
603650	彤程新材	2.14	0.36	化工原料	37	21.98	--  	22.43	99480	1720	         16.92	3.64	22.78	22.42	0.590㈢	    30.55	223098992	  1.24	         13.18亿	上海	22.14	22.43	50146	49334	  1.02	22.42	26	  1.02	
002092	中泰化学	2.02	0.11	化工原料	918	8.95	--  	9.07	462869	3744	          2.28	3.71	9.28	9.07	0.937㈢	     7.26	423066752	  1.34	        184.52亿	新疆	8.95	9.14	221389	241479	  0.92	9.06	18294	 -0.34	
002851	麦格米特	1.96	-0.02	电气设备	18	28.80	--  	29.15	59720	726	          4.71	5.70	30.43	29.15	0.450㈢	    55.83	176590608	  1.64	         36.95亿	深圳	29.05	29.57	31306	28414	  1.10	29.10	11	 -0.41	
002618	丹邦科技	1.95	-0.50	元器件	1205	15.50	--  	15.65	228220	4368	          4.17	5.47	16.34	15.65	0.046㈢	   255.89	364657536	  1.52	         85.75亿	深圳	15.68	15.98	124260	103959	  1.20	15.64	45	 -0.41	
601028	玉龙股份	1.92	0.38	钢加工	900	5.15	--  	5.30	98314	1403	          1.26	3.65	5.34	5.30	0.111㈢	    35.85	51667084	  1.03	         41.50亿	江苏	5.18	5.26	45362	52952	  0.86	5.29	872	  0.80	
000532	华金资本	1.90	-0.16	元器件	696	11.80	--  	11.81	183264	1571	          5.34	3.36	12.19	11.81	0.060㈢	   148.27	219115664	  0.81	         40.57亿	广东	12.06	11.96	91158	92106	  0.99	11.80	227	 -0.47	
300134	大富科技	1.76	0.35	通信设备	1329	13.90	--  	14.46	460497	3837	          6.46	7.46	14.96	14.45	-0.091㈢	--  	667980992	  1.04	        102.94亿	深圳	14.15	14.51	217907	242590	  0.90	14.45	74	 -0.60	
300207	欣旺达	1.75	-0.50	元器件	313	11.40	--  	11.60	167267	713	          1.47	4.82	11.95	11.60	0.300㈢	    31.38	196348608	  1.16	        132.14亿	深圳	11.60	11.74	75403	91864	  0.82	11.59	525	 -0.61	
601877	正泰电器	1.70	0.11	电气设备	42	25.73	--  	26.30	179721	2032	          1.03	3.33	26.59	26.30	1.297㈢	    15.21	471170528	  0.91	        456.88亿	浙江	26.03	26.22	83737	95983	  0.87	26.29	2490	  0.58	
002471	中超控股	1.54	0.30	电气设备	1854	3.22	--  	3.29	369557	3089	          2.94	3.70	3.34	3.29	0.095㈢	    26.02	121333120	  1.08	         41.35亿	江苏	3.25	3.28	192421	177135	  1.09	3.28	1576	 -0.82	
