代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
601519	大智慧	10.06	0.00	软件服务	120297	8.27	--  	--  	1654395	1601	          8.32	7.33	8.86	8.86	-0.020㈢	--  	1427239808	  1.37	        176.11亿	上海	8.27	8.63	886756	767638	  1.16	8.86	0	  8.94	
002668	奥马电器	10.02	0.00	家用电器	49699	5.41	--  	--  	2202871	632	         33.67	9.65	5.93	5.93	0.251㈢	    17.73	1277915776	  3.11	         38.80亿	广东	5.50	5.80	1028043	1174827	  0.88	5.93	0	  7.65	
603383	顶点软件	10.00	0.00	软件服务	6981	66.99	--  	--  	2263	65	          0.39	0.00	66.99	66.99	0.470㈢	   107.91	15158832	  0.05	         38.87亿	福建	66.99	66.99	1992	270	  7.38	66.99	0	  8.88	
300085	银之杰	9.99	0.00	软件服务	44766	15.33	--  	--  	565084	1071	         13.66	4.34	15.96	15.96	0.005㈢	  2325.68	896568000	  2.21	         66.01亿	深圳	15.70	15.87	417420	147663	  2.83	15.96	0	  7.63	
002564	天沃科技	9.98	0.00	化工机械	84761	5.13	--  	--  	453538	863	          7.54	11.52	5.73	5.73	0.200㈢	    23.48	254045504	  2.41	         34.49亿	江苏	5.20	5.60	212722	240815	  0.88	5.73	0	  7.62	
002547	春兴精工	8.14	1.01	通信设备	2455	8.40	--  	9.03	1364683	21232	         17.11	8.98	9.15	9.03	0.039㈢	   173.01	1207545728	  0.95	         72.03亿	江苏	8.40	8.85	614212	750470	  0.82	9.02	996	  5.78	
002537	海联金汇	5.29	0.77	汽车整车	402	11.10	--  	11.76	141209	2903	          1.18	6.09	11.78	11.75	0.231㈢	    38.12	162097472	  1.25	        140.41亿	山东	11.17	11.48	61058	80151	  0.76	11.75	596	  2.92	
600415	小商品城	5.19	0.41	商品城	1883	4.65	--  	4.86	758765	7450	          1.39	6.28	4.94	4.86	0.250㈢	    14.60	366860000	  1.44	        264.54亿	浙江	4.65	4.83	405699	353065	  1.15	4.85	3004	  4.07	
002279	久其软件	5.09	0.63	软件服务	4453	7.68	--  	8.06	279759	3355	          4.67	8.09	8.30	8.05	0.240㈢	    25.67	225553184	  1.31	         48.17亿	北京	7.69	8.06	130012	149747	  0.87	8.05	1780	  2.73	
000046	泛海控股	4.86	0.00	全国地产	243	6.38	--  	6.70	686100	6608	          1.33	10.03	7.02	6.69	0.350㈢	    14.35	463815840	  1.22	        346.22亿	北京	6.45	6.76	322046	364053	  0.88	6.69	6	  2.49	
002121	科陆电子	4.47	0.75	电器仪表	1031	5.20	--  	5.37	197683	5183	          2.18	3.50	5.38	5.37	0.014㈢	   286.34	104918840	  1.14	         48.63亿	深圳	5.25	5.31	93226	104457	  0.89	5.36	181	  2.11	
000159	国际实业	4.38	0.00	石油贸易	1082	4.76	--  	5.01	290184	2153	          6.04	10.65	5.27	5.00	0.056㈢	    67.18	144816464	  1.83	         24.03亿	新疆	4.78	4.99	135063	155120	  0.87	5.00	1740	  2.02	
002558	巨人网络	4.21	0.00	互联网	387	21.43	--  	22.50	167750	2574	          3.93	6.99	22.94	22.50	0.491㈢	    34.40	372557408	  1.10	         96.10亿	重庆	21.80	22.21	78140	89609	  0.87	22.49	5121	  1.85	
000062	深圳华强	3.92	0.00	批发业	151	20.15	--  	20.96	98178	1717	          1.39	7.44	21.65	20.95	0.719㈢	    21.84	202649504	  1.59	        147.87亿	深圳	20.20	20.64	48903	49274	  0.99	20.95	49	  1.55	
300380	安硕信息	3.42	-0.17	软件服务	519	21.50	--  	22.71	107189	1022	          8.69	11.12	23.94	22.70	0.098㈢	   173.85	245415696	  1.48	         27.99亿	上海	22.07	22.90	50997	56191	  0.91	22.70	13	  1.05	
600291	西水股份	3.37	0.19	保险	101	14.91	--  	15.65	669439	5605	          6.12	11.04	16.58	15.64	0.368㈢	    31.92	1054378368	  1.36	        170.96亿	内蒙	15.38	15.75	330113	339325	  0.97	15.64	135	  2.25	
600446	金证股份	3.21	-0.73	软件服务	2396	20.30	--  	21.58	1349778	10952	         15.82	12.87	22.99	21.57	0.116㈢	   139.89	2948931072	  1.43	        184.04亿	深圳	21.00	21.85	654480	695297	  0.94	21.57	235	  2.08	
300348	长亮科技	2.97	-0.14	软件服务	4	26.00	--  	27.00	238465	2741	         10.80	8.47	28.22	27.00	0.100㈢	   215.01	644651712	  1.25	         59.63亿	深圳	27.43	27.03	120657	117808	  1.02	26.98	217	  0.61	
300312	邦讯技术	2.86	0.11	通信设备	647	8.85	--  	9.00	274819	1636	         14.36	4.00	9.20	9.00	-0.034㈢	--  	248831792	  1.17	         17.22亿	北京	8.85	9.05	124227	150591	  0.82	8.99	1957	  0.49	
002130	沃尔核材	2.80	0.00	电气设备	1503	4.26	--  	4.40	660362	9296	          6.98	9.35	4.66	4.40	0.113㈢	    29.09	291125632	  1.46	         41.63亿	深圳	4.30	4.41	313428	346934	  0.90	4.39	952	  0.44	
300245	天玑科技	2.79	-0.09	软件服务	592	10.06	--  	10.30	88438	402	          3.41	6.59	10.72	10.30	0.160㈢	    48.37	91600296	  1.18	         26.74亿	上海	10.15	10.36	41714	46723	  0.89	10.29	206	  0.43	
600082	海泰发展	2.73	0.00	园区开发	1028	4.83	--  	4.89	252629	2197	          3.99	3.15	4.98	4.89	0.002㈢	  2199.40	123925008	  0.72	         31.00亿	天津	4.83	4.91	104760	147869	  0.71	4.88	2004	  1.61	
002024	苏宁易购	2.68	0.32	电器连锁	823	12.35	--  	12.65	1110297	7863	          1.90	4.06	12.85	12.65	0.658㈢	    14.42	1403165056	  1.13	        739.61亿	江苏	12.40	12.64	572395	537901	  1.06	12.64	845	  0.31	
300332	天壕环境	2.36	-0.45	环境保护	1429	4.19	--  	4.34	328933	3480	          4.63	5.91	4.44	4.33	0.035㈢	    91.97	142546400	  1.20	         30.74亿	北京	4.24	4.33	162508	166425	  0.98	4.33	561	 -0.00	
002583	海能达	2.27	0.17	通信设备	476	11.40	--  	11.73	275626	1023	          2.63	8.20	12.34	11.73	0.070㈢	   122.96	328037600	  1.05	        123.12亿	深圳	11.41	11.90	123821	151805	  0.82	11.72	703	 -0.10	
601678	滨化股份	2.15	0.38	化工原料	781	5.13	--  	5.22	260177	549	          1.68	3.33	5.30	5.22	0.428㈢	     9.15	136161312	  1.14	         80.62亿	山东	5.13	5.23	124230	135947	  0.91	5.21	1107	  1.03	
600338	西藏珠峰	2.12	0.04	铅锌	73	24.53	--  	25.05	74275	295	          1.14	3.79	25.46	25.05	1.177㈢	    15.96	185841872	  1.04	        163.58亿	西藏	24.68	25.02	30281	43994	  0.69	25.04	358	  1.00	
002065	东华软件	2.10	0.12	软件服务	1272	8.14	--  	8.29	776443	2755	          2.77	5.30	8.57	8.28	0.210㈢	    29.57	648559424	  1.52	        232.48亿	北京	8.21	8.35	330340	446102	  0.74	8.28	2721	 -0.27	
002657	中科金财	2.06	0.00	软件服务	806	17.26	--  	17.81	378091	2298	         13.68	8.14	18.68	17.80	0.200㈢	    66.71	678511296	  1.31	         49.20亿	北京	17.50	17.95	188958	189132	  1.00	17.80	40	 -0.30	
002436	兴森科技	1.90	0.19	元器件	1247	5.28	--  	5.35	455780	3430	          3.80	4.57	5.52	5.35	0.118㈢	    33.86	246877808	  0.94	         64.14亿	深圳	5.43	5.42	255272	200508	  1.27	5.34	5	 -0.46	
300033	同花顺	1.89	0.28	软件服务	422	78.98	--  	82.53	211299	1726	          7.99	11.37	88.19	82.53	1.179㈣	    69.99	1754270592	  1.03	        218.13亿	浙江	82.00	83.02	100818	110481	  0.91	82.52	62	 -0.48	
601216	君正集团	1.74	0.00	化工原料	11652	3.85	--  	4.09	3992635	30657	          4.73	12.94	4.37	4.09	0.221㈢	    13.85	1626205056	  1.42	        345.11亿	内蒙	3.93	4.07	1857883	2134752	  0.87	4.08	2426	  0.62	
002494	华斯股份	1.69	0.17	服饰	640	5.90	--  	6.01	108639	753	          3.68	2.88	6.07	6.00	0.044㈣	   137.17	65139332	  1.03	         17.70亿	河北	5.95	6.00	59869	48770	  1.23	6.00	743	 -0.67	
002487	大金重工	1.63	0.00	钢加工	2183	4.74	--  	5.00	328111	3501	          6.08	9.55	5.21	5.00	0.080㈢	    44.62	163752320	  1.19	         27.00亿	辽宁	4.76	4.99	159827	168284	  0.95	4.99	863	 -0.74	
600112	天成控股	1.56	0.22	电气设备	1127	4.43	--  	4.56	461584	3927	          9.06	4.69	4.64	4.55	0.160㈢	    21.36	209144384	  1.05	         23.17亿	贵州	4.53	4.53	235147	226437	  1.04	4.55	980	  0.44	
