代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002008	大族激光	4.97	0.65	电器仪表	7	40.23	--  	42.00	388593	1994	          3.91	5.92	42.60	42.00	1.550㈢	    20.29	1618060672	  1.38	        417.19亿	深圳	40.25	41.64	208377	180215	  1.16	41.99	1023	  2.61	
600048	保利地产	4.12	0.14	全国地产	4935	13.39	--  	13.91	2891193	19770	          2.46	7.04	14.33	13.90	0.810㈢	    12.92	3999716608	  1.79	       1636.44亿	广东	13.40	13.83	1369550	1521643	  0.90	13.90	845	  3.00	
000002	万 科Ａ	4.06	0.54	全国地产	100	28.54	--  	29.71	1414795	8092	          1.46	6.34	30.35	29.70	1.267㈢	    17.58	4185090560	  1.51	       2885.41亿	深圳	28.80	29.58	640764	774031	  0.83	29.70	1	  1.70	
002419	天虹股份	3.10	0.00	百货	171	12.32	--  	12.65	171326	943	          1.43	8.81	13.40	12.64	0.561㈢	    16.90	217080112	  1.73	        151.67亿	深圳	12.34	12.67	85776	85549	  1.00	12.64	446	  0.74	
002359	北讯集团	3.06	0.31	通信设备	3111	9.55	--  	9.76	631043	5192	          8.91	4.54	9.98	9.76	0.493㈢	    14.85	618415552	  0.91	         69.11亿	深圳	9.55	9.80	315354	315688	  1.00	9.75	731	  0.70	
603160	汇顶科技	3.00	-0.01	元器件	70	88.00	--  	88.94	39550	130	          1.71	4.00	91.45	88.90	0.698㈢	    95.53	355116736	  1.55	        205.89亿	深圳	88.00	89.79	17090	22460	  0.76	88.90	5	  1.88	
600804	鹏博士	2.90	0.61	电信运营	664	9.70	--  	9.95	838924	16276	          5.86	4.55	10.14	9.94	0.239㈢	    31.26	831614848	  0.95	        142.38亿	四川	9.82	9.91	427628	411295	  1.04	9.94	1897	  1.78	
000538	云南白药	2.85	0.14	中成药	23	86.85	--  	89.02	85777	1295	          0.82	2.77	89.25	89.02	2.624㈢	    25.45	758254912	  1.19	        927.05亿	云南	86.89	88.40	43166	42610	  1.01	89.01	98	  0.49	
300750	宁德时代	2.62	0.13	电气设备	19	90.73	--  	92.39	140369	723	          6.46	4.92	95.16	92.39	1.170㈢	    63.95	1306102144	  1.33	        200.71亿	福建	91.50	93.05	68447	71922	  0.95	92.38	117	  0.26	
603882	金域医学	2.58	0.04	医疗保健	23	25.42	--  	26.27	40549	1014	          1.45	6.80	27.16	26.26	0.359㈢	    54.88	107115176	  0.80	         73.43亿	广东	25.70	26.42	16358	24191	  0.68	26.26	15	  1.46	
000651	格力电器	2.01	0.06	家用电器	396	46.00	--  	46.65	880295	4955	          1.47	3.80	47.74	46.65	3.511㈢	     9.97	4126903808	  1.44	       2784.92亿	广东	46.27	46.88	424766	455529	  0.93	46.64	134	 -0.35	
603869	新智认知	2.00	0.30	软件服务	279	19.41	--  	19.90	53382	395	          1.99	5.74	20.53	19.89	0.824㈢	    18.11	106685480	  1.14	         53.33亿	广西	19.56	19.99	28431	24950	  1.14	19.89	117	  0.88	
000063	中兴通讯	1.95	0.00	通信设备	2743	29.90	--  	30.32	2159491	14881	          6.29	5.55	31.55	30.31	-1.732㈢	--  	6625920512	  0.98	       1040.88亿	深圳	30.11	30.68	1088681	1070810	  1.02	30.31	745	 -0.41	
000858	五 粮 液	1.78	0.34	白酒	204	75.51	--  	77.25	612471	4044	          1.61	5.26	79.50	77.25	2.470㈢	    23.69	4731317760	  1.27	       2932.23亿	四川	76.59	77.25	304414	308057	  0.99	77.24	54	 -0.59	
601138	工业富联	1.53	0.07	通信设备	1811	15.13	--  	15.32	938905	8160	          8.40	5.04	15.89	15.31	0.530㈢	    23.18	1458847488	  1.13	        171.15亿	深圳	15.13	15.54	497069	441835	  1.13	15.31	758	  0.40	
002505	大康农业	1.51	0.00	农业综合	5152	1.99	--  	2.03	803038	8296	          1.46	3.52	2.06	2.02	0.008㈢	   196.35	163360736	  0.71	        110.80亿	湖南	2.00	2.03	413187	389851	  1.06	2.02	10797	 -0.86	
002517	恺英网络	1.44	0.24	互联网	2088	4.14	--  	4.24	700220	6821	          5.78	5.28	4.36	4.23	0.229㈢	    13.87	298291296	  0.95	         51.22亿	福建	4.18	4.26	349708	350512	  1.00	4.23	1155	 -0.93	
300454	深信服	1.36	-0.65	软件服务	3	100.00	--  	101.57	18708	109	          4.68	6.00	106.00	101.30	0.820㈢	    97.91	193170960	  0.78	         40.53亿	深圳	100.00	103.25	9613	9095	  1.06	101.30	2	 -1.00	
600711	盛屯矿业	1.33	0.16	小金属	5298	6.02	--  	6.09	1021427	10091	          6.82	3.49	6.23	6.09	0.290㈢	    17.77	624745728	  0.98	         91.17亿	福建	6.04	6.12	501805	519622	  0.97	6.08	635	  0.21	
000932	华菱钢铁	1.27	0.13	普钢	1621	7.86	--  	7.98	1246308	6799	          4.13	4.06	8.18	7.98	1.816㈢	     3.30	993331968	  1.10	        240.62亿	湖南	8.01	7.97	652048	594260	  1.10	7.97	3218	 -1.10	
600395	盘江股份	1.08	-0.35	煤炭开采	745	5.52	--  	5.60	205733	1711	          1.24	2.89	5.68	5.59	0.439㈢	     9.55	115435336	  1.04	         92.52亿	贵州	5.54	5.61	112080	93652	  1.20	5.59	730	 -0.04	
600518	康美药业	1.08	0.18	中成药	746	10.80	--  	11.23	2689975	31131	          6.11	8.47	11.74	11.22	0.780㈢	    10.88	3030167808	  1.03	        494.04亿	广东	11.09	11.26	1347973	1342002	  1.00	11.22	2047	 -0.04	
600759	洲际油气	0.96	0.32	石油开采	1333	3.08	--  	3.15	775753	3108	          3.44	3.85	3.20	3.15	0.052㈢	    45.19	243777072	  1.03	         71.13亿	海南	3.10	3.14	402139	373613	  1.08	3.14	6820	 -0.16	
