代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
600425	青松建化	10.10	0.00	水泥	168450	4.36	--  	--  	904031	5054	          6.56	2.71	4.47	4.47	0.328㈢	    10.22	403698400	  1.33	         61.63亿	新疆	4.47	4.47	675339	228692	  2.95	4.47	0	  8.98	
601068	中铝国际	10.03	0.00	建筑施工	12234	6.73	--  	--  	1380740	2013	         46.66	10.77	7.46	7.46	0.070㈢	    65.94	1006529024	  1.54	         22.07亿	北京	7.00	7.29	823684	557056	  1.48	7.46	0	  8.91	
000911	南宁糖业	10.03	0.00	食品	19975	6.79	--  	--  	229494	283	          7.08	11.34	7.57	7.57	-1.999㈢	--  	168156368	  1.79	         24.53亿	广西	6.87	7.33	108145	121348	  0.89	7.57	0	  7.66	
600031	三一重工	7.65	-0.08	工程机械	225	10.93	--  	11.55	2681238	19645	          3.45	8.02	11.79	11.54	0.630㈢	    13.83	3085041920	  2.42	        895.85亿	北京	11.00	11.51	1301433	1379805	  0.94	11.54	843	  6.53	
600984	建设机械	7.38	0.00	工程机械	193	5.96	--  	6.40	222304	5524	          2.83	10.07	6.56	6.40	0.141㈢	    34.11	139690256	  2.29	         50.31亿	陕西	6.00	6.28	86872	135431	  0.64	6.39	2319	  6.26	
000812	陕西金叶	6.60	0.20	广告包装	250	4.56	--  	5.02	1083860	7378	         16.20	12.98	5.17	5.01	0.033㈢	   115.51	534288032	  1.65	         33.53亿	陕西	4.65	4.93	568482	515377	  1.10	5.01	787	  4.23	
002146	荣盛发展	5.83	0.29	全国地产	601	9.85	--  	10.35	980565	6693	          2.52	6.55	10.49	10.34	0.860㈢	     9.02	1003048064	  1.84	        402.59亿	河北	9.86	10.23	443615	536949	  0.83	10.34	1867	  3.47	
300162	雷曼股份	5.43	1.01	元器件	572	5.72	--  	6.02	219252	3892	         10.01	7.88	6.17	6.02	0.042㈢	   108.07	130507032	  1.28	         13.19亿	深圳	5.72	5.95	101331	117921	  0.86	6.01	281	  3.06	
600415	小商品城	5.19	0.41	商品城	1883	4.65	--  	4.86	758765	7450	          1.39	6.28	4.94	4.86	0.250㈢	    14.60	366860000	  1.44	        264.54亿	浙江	4.65	4.83	405699	353065	  1.15	4.85	3004	  4.07	
002207	ST准油	5.03	0.00	石油开采	2113	6.02	--  	--  	105584	12	          4.45	7.31	6.47	6.47	-0.072㈢	--  	67442280	  1.10	         15.36亿	新疆	6.10	6.39	49343	56240	  0.88	6.47	0	  2.67	
002941	新疆交建	4.92	0.06	建筑施工	2112	33.26	--  	35.01	211703	3920	         32.57	6.56	35.45	35.00	0.526㈢	    49.90	730628416	  0.80	         22.75亿	新疆	33.36	34.51	105651	106051	  1.00	35.00	83	  2.55	
000151	中成股份	4.87	-0.06	商贸代理	373	13.03	--  	13.99	289733	2618	         10.87	11.77	14.60	13.99	0.223㈢	    47.05	395792448	  1.46	         37.29亿	北京	13.30	13.66	142390	147342	  0.97	13.98	152	  2.51	
000425	徐工机械	4.49	0.24	工程机械	6142	4.06	--  	4.19	2567525	12265	          3.67	6.23	4.31	4.19	0.192㈢	    16.33	1077102976	  1.93	        293.03亿	江苏	4.09	4.20	1176275	1391250	  0.85	4.18	6369	  2.12	
000877	天山股份	4.40	0.10	水泥	3016	10.15	--  	10.45	1029467	11367	         11.70	8.20	10.97	10.44	0.730㈢	    10.73	1088057856	  2.20	         91.88亿	新疆	10.45	10.57	542557	486910	  1.11	10.44	2011	  2.04	
000159	国际实业	4.38	0.00	石油贸易	1082	4.76	--  	5.01	290184	2153	          6.04	10.65	5.27	5.00	0.056㈢	    67.18	144816464	  1.83	         24.03亿	新疆	4.78	4.99	135063	155120	  0.87	5.00	1740	  2.02	
601989	中国重工	4.13	2.02	船舶	7369	5.29	--  	5.56	3308750	97003	          1.80	4.88	5.55	5.55	0.062㈢	    67.30	1783735808	  1.37	       1019.07亿	北京	5.34	5.39	1636650	1672099	  0.98	5.55	7325	  3.01	
300103	达刚路机	4.09	0.00	工程机械	1108	9.98	--  	10.19	382268	3674	         15.21	7.98	10.76	10.18	0.095㈢	    80.29	395561184	  2.97	         25.59亿	陕西	10.00	10.35	169633	212635	  0.80	10.18	682	  1.73	
000528	柳 工	3.89	0.13	工程机械	1099	7.41	--  	7.75	803455	4544	          5.49	7.92	8.00	7.74	0.490㈢	    11.97	621122240	  1.63	        113.21亿	广西	7.49	7.73	373883	429571	  0.87	7.74	3167	  1.53	
600495	晋西车轴	3.83	0.18	运输设备	1209	5.20	--  	5.43	623494	6936	          5.16	9.20	5.68	5.42	0.033㈢	   123.30	336629728	  1.37	         65.48亿	山西	5.27	5.40	278984	344509	  0.81	5.42	2511	  2.71	
300090	盛运环保	3.67	0.00	环境保护	149	2.44	--  	2.55	1259013	18568	         11.02	7.35	2.62	2.54	-0.159㈢	--  	320223712	  1.02	         29.01亿	安徽	2.45	2.54	561561	697451	  0.81	2.54	3873	  1.31	
300024	机器人	3.35	0.17	专用机械	1010	17.00	--  	17.27	471214	3640	          3.11	4.49	17.75	17.27	0.211㈢	    61.38	820223168	  1.32	        261.40亿	辽宁	17.25	17.41	245281	225932	  1.09	17.26	2681	  0.99	
002202	金风科技	3.26	0.00	电气设备	259	13.95	--  	14.55	600709	2651	          2.10	7.52	15.01	14.55	0.670㈢	    16.04	868766336	  1.42	        415.37亿	新疆	14.15	14.46	286011	314697	  0.91	14.54	209	  0.90	
600738	兰州民百	3.22	-0.31	百货	1138	8.93	--  	9.31	436394	4862	         10.36	5.88	9.46	9.30	2.023㈣	     4.60	400262176	  1.33	         39.18亿	甘肃	9.46	9.17	220892	215502	  1.03	9.30	480	  2.10	
300213	佳讯飞鸿	2.95	0.00	通信设备	1576	7.53	--  	7.67	353994	2966	          9.18	5.10	7.91	7.67	0.113㈢	    50.77	272161280	  1.14	         29.59亿	北京	7.58	7.69	163487	190506	  0.86	7.66	510	  0.59	
603019	中科曙光	2.66	0.00	电脑设备	556	47.40	--  	47.92	323690	1699	          5.03	4.50	49.50	47.91	0.270㈢	   132.91	1570715008	  1.28	        308.07亿	天津	48.51	48.53	165686	158003	  1.05	47.91	125	  1.54	
000862	银星能源	2.36	0.58	新型电力	4655	6.56	--  	6.94	1212097	15768	         24.18	8.86	7.16	6.93	0.085㈢	    61.44	832590144	  0.92	         34.74亿	宁夏	6.79	6.87	626060	586037	  1.07	6.93	1928	 -0.00	
600710	苏美达	2.35	0.21	工程机械	379	4.67	--  	4.81	162094	922	          2.53	4.48	4.88	4.80	0.266㈢	    13.52	77749496	  1.06	         30.73亿	江苏	4.75	4.80	75091	87003	  0.86	4.80	849	  1.22	
000498	山东路桥	2.33	0.00	建筑施工	1543	5.94	--  	6.14	500004	2740	         11.35	8.33	6.44	6.14	0.314㈢	    14.68	306314368	  1.20	         27.06亿	山东	5.98	6.13	277188	222816	  1.24	6.13	6319	 -0.03	
000680	山推股份	2.30	0.25	工程机械	1828	3.90	--  	4.01	491691	2846	          4.65	5.61	4.12	4.01	0.069㈢	    43.87	198317968	  1.56	         42.38亿	山东	3.93	4.03	241450	250241	  0.96	4.00	3785	 -0.07	
600338	西藏珠峰	2.12	0.04	铅锌	73	24.53	--  	25.05	74275	295	          1.14	3.79	25.46	25.05	1.177㈢	    15.96	185841872	  1.04	        163.58亿	西藏	24.68	25.02	30281	43994	  0.69	25.04	358	  1.00	
000672	上峰水泥	2.09	0.10	水泥	1538	10.11	--  	10.27	473602	3122	          5.82	3.68	10.48	10.26	1.129㈢	     6.82	486753632	  1.42	         83.48亿	甘肃	10.20	10.28	228706	244896	  0.93	10.26	92	 -0.27	
300011	鼎汉技术	2.03	0.14	运输设备	303	6.98	--  	7.04	194173	930	          4.33	3.19	7.20	7.04	0.056㈢	    94.41	137725552	  1.29	         31.55亿	北京	7.00	7.09	102925	91248	  1.13	7.03	339	 -0.34	
000400	许继电气	2.01	0.00	电气设备	154	11.00	--  	11.16	298323	2045	          2.96	3.84	11.42	11.16	0.154㈢	    54.31	335641760	  1.23	        112.51亿	河南	11.00	11.25	153164	145159	  1.06	11.15	1144	 -0.35	
601886	江河集团	1.97	0.36	装修装饰	1468	8.12	--  	8.29	330559	3883	          3.51	4.80	8.51	8.28	0.383㈢	    16.20	275166336	  1.80	         77.94亿	北京	8.16	8.32	145203	185355	  0.78	8.28	928	  0.85	
000063	中兴通讯	1.95	0.00	通信设备	2743	29.90	--  	30.32	2159491	14881	          6.29	5.55	31.55	30.31	-1.732㈢	--  	6625920512	  0.98	       1040.88亿	深圳	30.11	30.68	1088681	1070810	  1.02	30.31	745	 -0.41	
000610	西安旅游	1.94	-0.11	旅游服务	66	8.33	--  	8.41	256511	1942	         10.90	2.91	8.57	8.40	-0.045㈢	--  	216251152	  0.88	         19.76亿	陕西	8.44	8.43	120520	135990	  0.89	8.40	1167	 -0.42	
600150	*ST船舶	1.92	-0.37	船舶	1495	15.50	--  	15.90	260072	3482	          1.89	4.43	16.19	15.89	0.225㈢	    53.03	411588256	  1.46	        218.98亿	上海	15.86	15.83	159174	100897	  1.58	15.89	289	  0.80	
603871	嘉友国际	1.92	0.42	仓储物流	10	40.00	--  	40.37	19159	126	          6.84	3.26	41.29	40.37	2.080㈢	    15.13	78197880	  1.43	         11.30亿	北京	40.00	40.81	9525	9634	  0.99	40.35	1	  0.80	
601228	广州港	1.88	0.21	港口	4941	4.80	--  	4.87	339404	5597	          2.35	2.09	4.90	4.87	0.116㈢	    31.52	164805712	  0.96	         70.28亿	广东	4.83	4.86	166294	173110	  0.96	4.86	3021	  0.76	
000035	中国天楹	1.85	0.00	环境保护	3633	5.41	--  	5.52	160262	2467	          1.25	5.18	5.69	5.51	0.120㈢	    60.48	89282440	  1.45	         70.59亿	江苏	5.47	5.57	78633	81628	  0.96	5.51	1149	 -0.52	
600217	中再资环	1.84	0.00	环境保护	1017	4.90	--  	5.00	110435	369	          0.84	4.29	5.11	4.99	0.149㈢	    25.05	55624128	  1.23	         65.81亿	陕西	4.90	5.04	55700	54735	  1.02	4.99	679	  0.72	
601002	晋亿实业	1.82	0.14	机械基件	4081	7.11	--  	7.28	456213	4338	          5.76	5.31	7.49	7.28	0.151㈢	    36.21	330953504	  1.09	         57.71亿	浙江	7.19	7.25	224679	231533	  0.97	7.27	146	  0.70	
600242	中昌数据	1.79	-0.07	软件服务	3831	12.41	--  	13.08	384207	3356	         12.65	6.62	13.26	13.07	0.213㈢	    46.03	494602784	  1.52	         39.70亿	广东	12.58	12.87	187576	196631	  0.95	13.07	874	  0.67	
600515	海航基础	1.78	0.17	全国地产	2520	5.63	--  	5.74	355534	2388	          2.14	4.09	5.86	5.73	0.313㈢	    13.73	205461824	  1.43	         95.02亿	海南	5.63	5.78	162870	192663	  0.85	5.73	414	  0.65	
300232	洲明科技	1.72	0.15	半导体	52	12.87	--  	13.05	102626	370	          2.27	7.10	13.78	13.04	0.425㈢	    22.99	136323488	  1.34	         59.03亿	深圳	12.94	13.28	60871	41754	  1.46	13.04	34	 -0.65	
600853	龙建股份	1.70	0.48	建筑施工	289	4.10	--  	4.18	110546	1558	          2.06	2.68	4.21	4.18	0.140㈢	    23.09	46035816	  0.92	         22.44亿	黑龙江	4.10	4.16	51964	58582	  0.89	4.17	1228	  0.58	
600969	郴电国际	1.62	0.14	水力发电	252	6.81	--  	6.92	82429	170	          2.23	2.50	6.98	6.91	0.157㈢	    33.09	56837900	  1.21	         25.57亿	湖南	6.81	6.90	35157	47272	  0.74	6.91	242	  0.50	
600820	隧道股份	1.52	0.27	建筑施工	2582	7.21	--  	7.33	426604	5022	          1.36	3.05	7.43	7.33	0.407㈢	    13.51	312973216	  1.38	        230.46亿	上海	7.26	7.34	237375	189229	  1.25	7.32	1062	  0.40	
600125	铁龙物流	1.49	0.25	铁路	474	8.08	--  	8.16	466804	6485	          3.58	3.73	8.38	8.16	0.313㈢	    19.57	381977088	  1.43	        106.53亿	辽宁	8.10	8.18	234629	232175	  1.01	8.15	1256	  0.37	
