代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
600682	南京新百	10.00	0.00	百货	34529	11.59	--  	--  	163467	77	          1.63	9.22	12.65	12.65	-1.070㈢	--  	201758608	  0.88	        126.77亿	江苏	11.59	12.34	97511	65956	  1.48	12.65	0	  8.88	
300017	网宿科技	9.96	0.00	电信运营	267248	11.60	--  	--  	2367446	1731	         12.31	1.96	11.81	11.81	0.252㈢	    35.13	2793327360	  1.97	        227.10亿	上海	11.81	11.80	1814149	553296	  3.28	11.81	0	  7.60	
300347	泰格医药	6.28	-0.53	医疗保健	30	57.37	--  	60.66	95915	318	          2.66	8.15	62.02	60.62	0.636㈢	    71.53	581233664	  1.78	        218.79亿	浙江	57.37	60.60	43947	51967	  0.85	60.61	2	  3.91	
002236	大华股份	5.23	0.12	电器仪表	1902	16.15	--  	16.49	1552241	10995	          8.46	6.89	17.23	16.49	0.540㈢	    23.71	2570447616	  1.75	        302.48亿	浙江	16.38	16.56	773961	778280	  0.99	16.48	239	  2.87	
002450	ST康得新	5.04	0.00	化工原料	296424	6.88	--  	--  	24844	481	          0.08	0.00	6.88	6.88	0.622㈢	     8.30	17092864	  0.02	        222.48亿	江苏	6.88	6.88	23202	1642	 14.13	6.88	0	  2.67	
002304	洋河股份	4.68	0.08	白酒	6	115.31	--  	120.80	105851	485	          0.85	7.88	124.40	120.80	4.671㈢	    19.40	1269634560	  1.21	       1502.81亿	江苏	117.51	119.95	57373	48477	  1.18	120.79	57	  2.31	
002415	海康威视	3.63	0.31	电器仪表	141	35.15	--  	35.95	887260	5175	          1.10	4.99	36.88	35.95	0.810㈢	    34.08	3200362752	  1.61	       2902.86亿	浙江	35.15	36.07	405891	481368	  0.84	35.94	217	  1.27	
600606	绿地控股	3.58	0.14	全国地产	1567	7.02	--  	7.24	1396237	10714	          1.15	5.72	7.42	7.24	0.731㈢	     7.43	1008191424	  1.68	        880.97亿	上海	7.05	7.22	623203	773034	  0.81	7.23	4548	  2.45	
600406	国电南瑞	3.29	0.00	软件服务	490	18.90	--  	19.17	531743	3514	          2.08	3.99	19.64	19.17	0.520㈢	    28.46	1026720576	  1.40	        489.45亿	江苏	18.90	19.31	299738	232004	  1.29	19.16	177	  2.17	
600196	复星医药	3.00	0.24	化学制药	448	29.01	--  	29.58	628985	5302	          3.29	3.97	30.15	29.57	0.830㈢	    27.14	1856410752	  1.08	        564.94亿	上海	29.01	29.51	298666	330319	  0.90	29.57	246	  1.87	
601155	新城控股	2.76	0.20	区域地产	454	33.76	--  	34.63	231238	1068	          1.03	5.37	35.57	34.62	1.400㈢	    18.77	801873408	  1.48	        777.56亿	江苏	33.88	34.68	120268	110969	  1.08	34.62	198	  1.64	
600637	东方明珠	2.75	0.08	影视音像	768	11.90	--  	11.96	412139	3522	          1.21	4.81	12.46	11.96	0.440㈢	    20.38	498765184	  1.74	        408.37亿	上海	12.21	12.10	215235	196904	  1.09	11.95	381	  1.63	
002024	苏宁易购	2.68	0.32	电器连锁	823	12.35	--  	12.65	1110297	7863	          1.90	4.06	12.85	12.65	0.658㈢	    14.42	1403165056	  1.13	        739.61亿	江苏	12.40	12.64	572395	537901	  1.06	12.64	845	  0.31	
600460	士兰微	2.41	0.44	半导体	2129	11.35	--  	11.48	849638	6296	          6.48	3.93	11.79	11.47	0.115㈢	    74.56	984232512	  1.37	        150.49亿	浙江	11.77	11.58	416767	432871	  0.96	11.47	1399	  1.29	
300027	华谊兄弟	2.39	0.18	影视音像	633	5.45	--  	5.57	823138	4946	          3.72	5.70	5.76	5.57	0.118㈢	    35.55	460324864	  1.37	        123.16亿	浙江	5.60	5.59	423586	399552	  1.06	5.56	2007	  0.03	
002044	美年健康	2.09	0.17	医疗保健	6	17.32	--  	17.55	280658	897	          1.20	2.73	17.79	17.55	0.133㈢	    99.28	493130208	  1.31	        411.47亿	江苏	17.35	17.57	124022	156635	  0.79	17.54	153	 -0.27	
600741	华域汽车	1.98	0.19	汽车配件	533	20.78	--  	21.13	251819	732	          0.80	4.49	21.71	21.13	2.019㈢	     7.85	536521376	  2.08	        666.17亿	上海	20.78	21.31	124180	127638	  0.97	21.12	32	  0.86	
603605	珀莱雅	1.93	-0.28	日用化工	20	50.51	--  	52.25	23763	109	          3.83	6.13	53.65	52.25	0.910㈢	    43.41	125191424	  0.96	         32.44亿	浙江	51.00	52.68	12532	11230	  1.12	52.20	44	  0.81	
300144	宋城演艺	1.89	-0.08	旅游景点	238	21.40	--  	22.14	213579	1302	          1.81	5.89	22.68	22.13	0.790㈢	    21.01	470665376	  1.27	        261.84亿	浙江	21.80	22.04	100352	113227	  0.89	22.13	387	 -0.48	
600816	安信信托	1.83	-0.25	多元金融	18760	7.13	--  	7.78	4599757	32908	          9.84	15.31	8.30	7.78	0.004㈢	  1324.87	3525433600	  1.72	        363.52亿	上海	7.27	7.66	2236031	2363725	  0.95	7.77	78	  0.71	
601360	三六零	1.78	0.08	互联网	380	26.09	--  	26.31	175747	1375	          4.42	4.57	27.27	26.30	0.380㈢	    53.03	468111584	  0.88	        104.46亿	江苏	26.50	26.64	87333	88413	  0.99	26.30	92	  0.66	
601877	正泰电器	1.70	0.11	电气设备	42	25.73	--  	26.30	179721	2032	          1.03	3.33	26.59	26.30	1.297㈢	    15.21	471170528	  0.91	        456.88亿	浙江	26.03	26.22	83737	95983	  0.87	26.29	2490	  0.58	
601328	交通银行	1.67	0.00	银行	3738	6.60	--  	6.70	2859150	21661	          0.73	3.79	6.85	6.70	0.740㈢	     6.51	1923060992	  1.49	       2629.81亿	上海	6.66	6.73	1320385	1538764	  0.86	6.69	8102	  0.55	
600901	江苏租赁	1.59	-0.12	多元金融	4102	7.52	--  	7.70	895120	6999	          4.92	7.53	8.09	7.69	0.340㈢	    18.02	696474880	  0.90	        139.99亿	江苏	7.60	7.78	453616	441503	  1.03	7.69	1822	  0.46	
