代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300008	天海防务	10.14	3.83	船舶	49897	3.38	--  	--  	1319724	39753	         21.91	12.17	3.80	3.80	-1.379㈢	--  	468144736	  1.13	         22.89亿	上海	3.40	3.55	636783	682940	  0.93	3.80	0	  7.78	
600839	四川长虹	10.10	0.00	家用电器	319825	3.13	--  	--  	880363	3236	          1.91	1.05	3.16	3.16	0.044㈢	    53.35	277916064	  1.01	        145.81亿	四川	3.13	3.16	753051	127312	  5.92	3.16	0	  8.98	
300353	东土科技	10.04	0.00	通信设备	11286	11.03	--  	--  	535813	609	         15.26	9.40	12.06	12.06	0.088㈢	   102.92	631186752	  1.97	         42.34亿	北京	11.26	11.78	277638	258175	  1.08	12.06	0	  7.67	
300424	航新科技	10.02	0.00	航空	55949	20.59	--  	--  	131694	53	          8.35	9.34	22.50	22.50	0.183㈢	    92.16	285193312	  2.52	         35.49亿	广东	20.59	21.66	66366	65327	  1.02	22.50	0	  7.66	
300491	通合科技	10.02	0.00	电气设备	18745	16.56	--  	--  	69985	67	         12.23	10.02	18.22	18.22	0.022㈢	   611.71	123142280	  1.53	         10.43亿	河北	16.56	17.60	31341	38644	  0.81	18.22	0	  7.66	
600775	南京熊猫	10.01	0.00	通信设备	13948	10.16	--  	--  	743171	599	         11.06	10.30	11.21	11.21	0.089㈢	    94.59	816658688	  1.31	         75.31亿	江苏	10.38	10.99	424959	318211	  1.34	11.21	0	  8.89	
002771	真视通	10.01	0.00	软件服务	23476	14.00	--  	--  	20959	6	          2.29	9.22	15.28	15.28	0.176㈢	    65.02	31622012	  0.58	         13.98亿	北京	14.00	15.09	17234	3725	  4.63	15.28	0	  7.64	
300397	天和防务	9.99	0.00	通信设备	29729	18.16	--  	--  	156301	14	         10.08	6.87	19.37	19.37	-0.306㈢	--  	294694656	  0.93	         30.04亿	陕西	18.16	18.85	75201	81099	  0.93	19.37	0	  7.63	
002564	天沃科技	9.98	0.00	化工机械	84761	5.13	--  	--  	453538	863	          7.54	11.52	5.73	5.73	0.200㈢	    23.48	254045504	  2.41	         34.49亿	江苏	5.20	5.60	212722	240815	  0.88	5.73	0	  7.62	
002519	银河电子	9.93	0.00	通信设备	56737	4.23	--  	--  	789252	522	          9.49	4.96	4.43	4.43	0.117㈢	    28.38	346985280	  2.12	         36.84亿	江苏	4.31	4.40	567976	221275	  2.57	4.43	0	  7.56	
002683	宏大爆破	9.88	0.77	化工原料	25	9.54	--  	10.45	394638	4196	          6.60	9.67	10.46	10.45	0.220㈢	    36.14	397503904	  2.79	         62.48亿	广东	9.61	10.07	165265	229373	  0.72	10.44	753	  7.52	
603859	能科股份	8.12	-0.67	软件服务	38	24.83	--  	26.23	75915	145	         15.22	7.63	26.68	26.22	0.159㈢	   123.65	198681936	  1.69	         13.08亿	北京	25.22	26.17	30532	45383	  0.67	26.22	3	  7.00	
002224	三 力 士	5.66	0.28	橡胶	3169	6.88	--  	7.10	744112	3214	         15.77	7.45	7.38	7.09	0.140㈢	    37.71	530535456	  3.88	         33.45亿	浙江	6.90	7.13	315909	428203	  0.74	7.09	1207	  3.30	
600783	鲁信创投	5.44	0.09	矿物制品	1198	22.30	--  	23.46	640983	6708	          8.61	7.33	23.93	23.46	0.291㈢	    60.38	1484397696	  1.00	        174.63亿	山东	23.11	23.16	327642	313341	  1.05	23.45	267	  4.32	
300379	东方通	5.13	-0.13	软件服务	226	20.08	--  	20.91	169304	1290	          8.81	8.05	21.68	20.90	0.081㈢	   193.29	353326464	  1.15	         40.18亿	北京	20.08	20.87	81599	87704	  0.93	20.90	38	  2.77	
300099	精准信息	5.12	0.75	电器仪表	329	5.10	--  	5.34	276893	5013	          7.07	7.28	5.47	5.34	0.036㈢	   110.36	145772416	  1.51	         20.92亿	山东	5.10	5.26	124006	152887	  0.81	5.33	597	  2.75	
002552	*ST宝鼎	5.06	0.00	机械基件	2487	7.67	--  	--  	60472	103	          3.02	5.45	8.09	8.09	0.094㈣	    86.35	47934668	  1.35	         16.19亿	浙江	7.75	7.93	28930	31542	  0.92	8.09	0	  2.70	
002194	*ST凡谷	5.00	0.00	通信设备	5184	11.15	--  	--  	148303	17	          2.80	1.76	11.34	11.34	-0.094㈢	--  	167617712	  1.24	         60.14亿	湖北	11.16	11.30	83746	64556	  1.30	11.34	0	  2.64	
600614	鹏起科技	4.62	0.99	综合类	860	5.79	--  	6.11	1158927	19342	          7.67	7.53	6.23	6.11	0.091㈢	    50.26	698995264	  0.80	         92.35亿	上海	5.84	6.03	558476	600451	  0.93	6.10	673	  3.50	
300257	开山股份	4.62	-0.14	机械基件	13	13.00	--  	13.58	69742	474	          0.85	8.24	14.07	13.58	0.105㈢	    96.81	95031552	  2.00	        111.02亿	浙江	13.03	13.63	32499	37242	  0.87	13.57	92	  2.26	
300103	达刚路机	4.09	0.00	工程机械	1108	9.98	--  	10.19	382268	3674	         15.21	7.98	10.76	10.18	0.095㈢	    80.29	395561184	  2.97	         25.59亿	陕西	10.00	10.35	169633	212635	  0.80	10.18	682	  1.73	
601606	长城军工	3.95	0.00	专用机械	4075	16.85	--  	17.91	579826	11554	         39.18	8.19	18.26	17.90	0.055㈢	   243.25	1011628352	  1.06	         26.49亿	安徽	16.96	17.45	295338	284488	  1.04	17.90	188	  2.83	
600495	晋西车轴	3.83	0.18	运输设备	1209	5.20	--  	5.43	623494	6936	          5.16	9.20	5.68	5.42	0.033㈢	   123.30	336629728	  1.37	         65.48亿	山西	5.27	5.40	278984	344509	  0.81	5.42	2511	  2.71	
000806	银河生物	3.80	0.00	生物制药	1719	4.35	--  	4.65	913638	9857	         13.08	9.40	4.77	4.64	-0.106㈢	--  	416077760	  1.03	         32.41亿	广西	4.35	4.55	462525	451113	  1.03	4.64	3680	  1.44	
300395	菲利华	3.76	-0.09	玻璃	329	18.21	--  	19.04	78786	660	          2.93	8.45	19.76	19.03	0.400㈢	    36.65	149701648	  1.47	         51.21亿	湖北	18.26	19.00	32078	46707	  0.69	19.03	70	  1.40	
002528	英飞拓	3.71	0.68	电脑设备	18	4.37	--  	4.47	229215	3113	          2.65	4.87	4.58	4.47	0.060㈢	    61.05	102508432	  1.23	         38.63亿	深圳	4.38	4.47	118730	110484	  1.07	4.46	1423	  1.35	
000801	四川九洲	3.70	0.16	通信设备	921	6.06	--  	6.17	512264	7316	          5.01	4.87	6.35	6.17	0.022㈢	   205.72	316357408	  1.13	         63.11亿	四川	6.30	6.18	272260	240003	  1.13	6.16	505	  1.33	
002368	太极股份	3.60	0.04	软件服务	19	27.40	--  	28.21	240588	1413	          6.01	5.80	28.98	28.20	0.167㈢	   126.32	680156224	  1.75	        112.93亿	北京	28.00	28.27	103413	137174	  0.75	28.20	215	  1.24	
603338	浙江鼎力	3.25	0.28	专用机械	3	71.00	--  	72.48	17202	68	          0.69	3.79	73.66	72.48	1.599㈢	    34.00	124228728	  1.14	        179.53亿	浙江	71.00	72.22	7741	9460	  0.82	72.41	19	  2.13	
002611	东方精工	3.24	0.49	轻工机械	1099	4.03	--  	4.15	543784	4114	          4.90	4.24	4.20	4.14	0.188㈢	    16.50	225013920	  0.92	         45.99亿	广东	4.03	4.14	241421	302362	  0.80	4.14	5235	  0.88	
300287	飞利信	3.00	-0.21	软件服务	3344	4.40	--  	4.48	850685	6665	          7.60	5.53	4.64	4.47	0.170㈢	    19.77	382388992	  1.39	         50.01亿	北京	4.41	4.50	401548	449137	  0.89	4.47	636	  0.63	
