代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300198	纳川股份	10.06	3.05	塑料	19520	3.37	--  	--  	1084356	74733	         14.49	10.36	3.72	3.72	0.006㈢	   503.87	389107936	  1.89	         27.84亿	福建	3.45	3.59	577814	506542	  1.14	3.72	0	  7.69	
300491	通合科技	10.02	0.00	电气设备	18745	16.56	--  	--  	69985	67	         12.23	10.02	18.22	18.22	0.022㈢	   611.71	123142280	  1.53	         10.43亿	河北	16.56	17.60	31341	38644	  0.81	18.22	0	  7.66	
002190	成飞集成	9.99	0.00	汽车配件	4364	18.85	--  	--  	240775	1497	          6.98	12.42	21.25	21.25	-0.278㈢	--  	481463296	  2.16	         73.35亿	四川	19.08	20.00	110469	130306	  0.85	21.25	0	  7.63	
601608	中信重工	9.98	0.00	专用机械	99886	4.40	--  	--  	1583529	2889	          3.65	7.89	4.74	4.74	0.020㈢	   218.01	736953472	  2.05	        205.69亿	河南	4.54	4.65	841305	742224	  1.13	4.74	0	  8.86	
600094	大名城	9.96	0.00	区域地产	45657	5.38	--  	--  	198771	35	          0.87	2.79	5.52	5.52	0.022㈢	   184.21	109139920	  0.92	        125.67亿	上海	5.39	5.49	136609	62162	  2.20	5.52	0	  8.84	
002519	银河电子	9.93	0.00	通信设备	56737	4.23	--  	--  	789252	522	          9.49	4.96	4.43	4.43	0.117㈢	    28.38	346985280	  2.12	         36.84亿	江苏	4.31	4.40	567976	221275	  2.57	4.43	0	  7.56	
002050	三花智控	7.89	0.25	机械基件	339	14.77	--  	15.88	530506	3987	          2.85	9.59	16.18	15.87	0.480㈢	    24.78	840645248	  3.44	        295.30亿	浙江	14.77	15.85	295460	235046	  1.26	15.87	761	  5.52	
002441	众业达	6.99	-0.11	批发业	445	7.91	--  	8.58	254829	2609	          6.49	9.74	8.69	8.57	0.343㈢	    18.74	210175280	  2.06	         33.66亿	广东	7.99	8.25	120786	134043	  0.90	8.57	234	  4.63	
601689	拓普集团	6.58	0.91	汽车配件	453	18.94	--  	19.91	170850	1433	          6.98	7.76	20.39	19.91	0.848㈢	    17.60	337271840	  1.56	         48.71亿	浙江	18.94	19.74	88855	81994	  1.08	19.90	156	  5.46	
002224	三 力 士	5.66	0.28	橡胶	3169	6.88	--  	7.10	744112	3214	         15.77	7.45	7.38	7.09	0.140㈢	    37.71	530535456	  3.88	         33.45亿	浙江	6.90	7.13	315909	428203	  0.74	7.09	1207	  3.30	
002276	万马股份	5.38	0.28	电气设备	604	6.80	--  	7.05	521439	3308	          5.04	6.58	7.24	7.05	0.065㈢	    81.78	367656736	  1.50	         72.90亿	浙江	6.80	7.05	275529	245909	  1.12	7.04	1060	  3.02	
600459	贵研铂业	4.97	-0.05	小金属	256	14.81	--  	15.64	429574	3675	         12.66	10.48	16.37	15.63	0.354㈢	    33.11	668158336	  1.90	         53.03亿	云南	15.20	15.55	204033	225540	  0.90	15.63	284	  3.85	
002076	雪 莱 特	4.84	0.82	家用电器	1785	3.51	--  	3.69	421045	9719	          9.45	5.41	3.70	3.68	-0.071㈢	--  	151757472	  1.52	         16.39亿	广东	3.53	3.60	159926	261118	  0.61	3.68	4841	  2.48	
002249	大洋电机	4.65	-0.20	电气设备	2961	4.47	--  	4.74	689358	7720	          3.01	8.41	4.85	4.73	0.061㈢	    58.14	320687552	  1.28	        108.49亿	广东	4.55	4.65	316184	373174	  0.85	4.73	2569	  2.28	
600718	东软集团	4.22	0.08	软件服务	301	12.17	--  	12.60	451298	1377	          3.63	6.53	12.96	12.60	0.100㈢	    94.27	569866368	  1.48	        156.54亿	辽宁	12.51	12.63	213783	237514	  0.90	12.59	952	  3.10	
600885	宏发股份	4.15	1.24	电气设备	18	25.59	--  	26.84	67908	367	          0.91	5.47	27.00	26.84	0.790㈢	    25.48	180707024	  1.39	        199.89亿	湖北	25.81	26.61	31601	36306	  0.87	26.83	14	  3.03	
300598	诚迈科技	4.12	0.29	软件服务	377	23.66	--  	24.51	46227	743	          9.56	3.61	24.51	24.51	0.123㈢	   149.90	111793960	  1.21	         11.85亿	江苏	23.70	24.18	22048	24178	  0.91	24.50	10	  1.76	
002733	雄韬股份	4.10	0.16	电气设备	291	23.01	--  	24.63	312749	3485	          9.56	9.04	25.15	24.63	0.205㈢	    90.01	763062656	  0.76	         80.60亿	深圳	23.60	24.40	144307	168441	  0.86	24.62	48	  1.74	
300520	科大国创	3.75	0.73	软件服务	2387	18.78	--  	19.38	122175	4367	         10.85	3.16	19.37	19.37	0.100㈢	   174.83	233626832	  1.14	         21.82亿	安徽	18.92	19.12	56589	65585	  0.86	19.37	127	  1.38	
002184	海得控制	3.64	-0.35	软件服务	652	10.76	--  	11.10	147232	1948	         10.84	8.68	11.69	11.10	-0.203㈢	--  	164658560	  1.45	         15.08亿	上海	10.76	11.18	67397	79834	  0.84	11.09	37	  1.28	
300228	富瑞特装	3.43	0.32	化工机械	1605	6.15	--  	6.33	385190	5211	          9.49	6.54	6.55	6.33	-0.084㈢	--  	243682208	  1.17	         25.71亿	江苏	6.18	6.33	178022	207168	  0.86	6.32	668	  1.07	
002055	得润电子	3.42	0.00	元器件	303	13.43	--  	13.92	197128	1607	          4.63	7.88	14.49	13.91	0.182㈢	    57.19	274360416	  1.31	         59.24亿	深圳	13.45	13.92	93460	103667	  0.90	13.91	357	  1.06	
000981	银亿股份	3.37	0.27	汽车配件	390	3.50	--  	3.69	999746	14216	          3.88	7.87	3.78	3.68	0.212㈢	    13.03	364648736	  1.05	         94.73亿	甘肃	3.53	3.65	443044	556702	  0.80	3.68	3964	  1.01	
002611	东方精工	3.24	0.49	轻工机械	1099	4.03	--  	4.15	543784	4114	          4.90	4.24	4.20	4.14	0.188㈢	    16.50	225013920	  0.92	         45.99亿	广东	4.03	4.14	241421	302362	  0.80	4.14	5235	  0.88	
000868	安凯客车	3.07	0.25	汽车整车	2228	3.85	--  	4.03	483212	2992	          6.95	8.44	4.18	4.03	-0.360㈢	--  	194116640	  1.23	         28.03亿	安徽	3.86	4.02	257269	225943	  1.14	4.02	1768	  0.70	
000839	中信国安	3.03	0.00	综合类	9508	4.66	--  	4.76	1839058	22573	          4.69	6.06	4.94	4.76	0.001㈢	  2570.12	880746560	  0.93	        186.54亿	北京	4.76	4.79	916047	923010	  0.99	4.75	53	  0.67	
600678	四川金顶	2.95	0.14	水泥	238	7.06	--  	7.34	706928	6711	         20.26	8.71	7.68	7.33	0.089㈢	    61.82	519278976	  2.34	         25.58亿	四川	7.16	7.35	337788	369139	  0.92	7.33	2372	  1.83	
300001	特锐德	2.80	-0.23	电气设备	268	24.18	--  	24.57	242963	1899	          2.63	6.49	25.73	24.57	0.144㈢	   127.96	605742912	  1.49	        227.20亿	山东	24.20	24.93	118675	124288	  0.95	24.56	80	  0.44	
300325	德威新材	2.76	0.25	塑料	1266	3.96	--  	4.09	567766	7028	          7.14	5.28	4.17	4.09	0.025㈢	   122.78	230341776	  0.95	         32.51亿	江苏	4.01	4.06	270015	297750	  0.91	4.08	4648	  0.40	
