代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
000917	电广传媒	10.02	0.00	影视音像	53152	8.69	--  	--  	1586884	806	         12.26	6.32	9.22	9.22	-0.095㈢	--  	1442531328	  1.15	        119.37亿	湖南	8.99	9.09	924136	662748	  1.39	9.22	0	  7.66	
300203	聚光科技	10.02	0.00	环境保护	568	26.37	--  	--  	318027	644	          7.04	9.18	28.77	28.77	0.928㈢	    23.26	898723328	  3.72	        129.94亿	浙江	26.50	28.26	158936	159090	  1.00	28.77	0	  7.65	
002017	东信和平	10.01	0.00	通信设备	41911	14.70	--  	--  	223620	290	          6.48	5.61	15.49	15.49	0.089㈢	   131.12	340768896	  0.45	         53.46亿	广东	14.84	15.24	101038	122581	  0.82	15.49	0	  7.65	
300504	天邑股份	9.99	0.00	通信设备	18213	27.20	--  	--  	145097	121	         21.70	7.85	29.29	29.29	0.530㈢	    44.81	415547520	  1.64	         19.58亿	四川	27.23	28.64	70592	74504	  0.95	29.29	0	  7.62	
002231	奥维通信	9.96	0.00	通信设备	1550	7.80	--  	--  	339560	1134	         11.10	7.73	8.39	8.39	-0.013㈢	--  	275796544	  1.98	         25.66亿	辽宁	7.93	8.12	170959	168601	  1.01	8.39	0	  7.60	
600100	同方股份	9.28	-0.08	电脑设备	1542	10.52	--  	11.20	613050	3001	          2.07	7.23	11.26	11.19	-0.193㈢	--  	679055552	  3.44	        331.66亿	北京	10.52	11.08	255934	357115	  0.72	11.19	1809	  8.16	
002512	达华智能	8.54	1.42	元器件	264	5.25	--  	5.73	761013	11084	          8.62	10.44	5.80	5.72	-0.368㈢	--  	423397440	  1.57	         50.52亿	福建	5.25	5.56	329153	431859	  0.76	5.72	785	  6.17	
300638	广和通	7.91	-1.01	通信设备	23	44.00	--  	46.50	68312	567	         17.12	7.89	47.40	46.50	0.480㈢	    73.16	313722912	  1.20	         18.55亿	深圳	44.18	45.93	31887	36424	  0.88	46.45	213	  5.55	
300365	恒华科技	6.53	-0.32	软件服务	190	23.20	--  	24.48	95960	923	          4.39	7.84	25.00	24.47	0.274㈢	    67.08	231273792	  1.43	         53.49亿	北京	23.20	24.10	44065	51894	  0.85	24.47	103	  4.17	
002373	千方科技	5.40	0.57	软件服务	324	15.30	--  	15.82	325384	3210	          3.88	5.66	16.15	15.82	0.360㈢	    35.96	513412480	  1.55	        132.78亿	北京	15.35	15.78	167858	157526	  1.07	15.81	265	  3.03	
002421	达实智能	5.29	0.46	软件服务	3000	4.14	--  	4.38	806016	11095	          4.75	8.41	4.49	4.38	0.082㈢	    40.10	348085504	  1.87	         74.28亿	深圳	4.18	4.32	354979	451036	  0.79	4.37	1965	  2.92	
300168	万达信息	5.20	-0.41	软件服务	2889	13.56	--  	14.17	600851	5414	          5.51	8.25	14.67	14.16	0.150㈢	    76.82	839646656	  1.50	        154.52亿	上海	13.62	13.97	289039	311812	  0.93	14.16	169	  2.84	
300310	宜通世纪	4.95	0.16	通信设备	689	6.00	--  	6.36	952505	11806	         15.16	9.08	6.55	6.36	-0.645㈢	--  	595671232	  1.20	         39.96亿	广东	6.17	6.25	448972	503533	  0.89	6.35	745	  2.59	
002139	拓邦股份	4.81	0.18	元器件	4049	5.42	--  	5.66	492331	2170	          6.28	6.30	5.76	5.66	0.200㈢	    22.25	277222240	  1.45	         44.38亿	深圳	5.45	5.63	225113	267218	  0.84	5.65	5887	  2.45	
002121	科陆电子	4.47	0.75	电器仪表	1031	5.20	--  	5.37	197683	5183	          2.18	3.50	5.38	5.37	0.014㈢	   286.34	104918840	  1.14	         48.63亿	深圳	5.25	5.31	93226	104457	  0.89	5.36	181	  2.11	
300356	光一科技	4.24	0.38	电气设备	1537	7.55	--  	7.87	393070	4362	         10.66	7.69	8.13	7.86	0.055㈢	   107.70	307573984	  0.85	         28.99亿	江苏	7.66	7.82	185013	208056	  0.89	7.86	522	  1.88	
600718	东软集团	4.22	0.08	软件服务	301	12.17	--  	12.60	451298	1377	          3.63	6.53	12.96	12.60	0.100㈢	    94.27	569866368	  1.48	        156.54亿	辽宁	12.51	12.63	213783	237514	  0.90	12.59	952	  3.10	
300598	诚迈科技	4.12	0.29	软件服务	377	23.66	--  	24.51	46227	743	          9.56	3.61	24.51	24.51	0.123㈢	   149.90	111793960	  1.21	         11.85亿	江苏	23.70	24.18	22048	24178	  0.91	24.50	10	  1.76	
002028	思源电气	4.06	-0.07	电气设备	390	11.56	--  	12.06	312827	2824	          5.39	5.95	12.25	12.06	0.315㈢	    28.69	373443232	  1.72	         69.97亿	上海	11.65	11.94	142462	170364	  0.84	12.05	119	  1.69	
600845	宝信软件	4.03	0.03	软件服务	23	29.50	--  	30.17	108154	882	          1.69	5.17	31.00	30.17	0.630㈢	    38.29	327332320	  1.38	        193.34亿	上海	29.50	30.27	36692	71462	  0.51	30.16	92	  2.91	
002161	远 望 谷	4.02	0.00	通信设备	1640	6.51	--  	6.74	571250	3472	          8.18	8.66	7.07	6.73	-0.107㈢	--  	380567776	  1.68	         47.01亿	深圳	6.54	6.66	269080	302170	  0.89	6.73	567	  1.65	
600602	云赛智联	3.84	0.00	软件服务	1534	6.36	--  	6.49	171602	859	          1.66	4.96	6.67	6.49	0.133㈢	    36.68	112390032	  1.58	         67.07亿	上海	6.36	6.55	89505	82096	  1.09	6.48	718	  2.72	
000801	四川九洲	3.70	0.16	通信设备	921	6.06	--  	6.17	512264	7316	          5.01	4.87	6.35	6.17	0.022㈢	   205.72	316357408	  1.13	         63.11亿	四川	6.30	6.18	272260	240003	  1.13	6.16	505	  1.33	
000701	厦门信达	3.63	0.00	综合类	675	6.91	--  	7.14	148173	1047	          3.64	5.52	7.29	7.14	-0.060㈢	    35.00	105587368	  1.82	         29.03亿	福建	6.96	7.13	69654	78518	  0.89	7.13	175	  1.26	
600410	华胜天成	3.57	0.83	软件服务	1597	7.07	--  	7.26	584483	3750	          5.32	5.86	7.48	7.25	0.046㈢	   117.09	424425440	  1.48	         79.66亿	北京	7.16	7.26	274834	309649	  0.89	7.25	486	  2.45	
300228	富瑞特装	3.43	0.32	化工机械	1605	6.15	--  	6.33	385190	5211	          9.49	6.54	6.55	6.33	-0.084㈢	--  	243682208	  1.17	         25.71亿	江苏	6.18	6.33	178022	207168	  0.86	6.32	668	  1.07	
300458	全志科技	3.18	0.26	元器件	1719	22.82	--  	23.03	208194	1559	          8.89	7.71	24.54	23.02	0.437㈢	    39.54	494192384	  1.68	         53.92亿	广东	24.54	23.74	117353	90840	  1.29	23.02	53	  0.82	
300096	易联众	3.12	0.52	软件服务	453	11.31	--  	11.57	183841	1602	          4.88	7.04	12.10	11.57	-0.040㈢	--  	214131200	  0.81	         43.56亿	福建	11.34	11.65	88737	95104	  0.93	11.56	70	  0.75	
300213	佳讯飞鸿	2.95	0.00	通信设备	1576	7.53	--  	7.67	353994	2966	          9.18	5.10	7.91	7.67	0.113㈢	    50.77	272161280	  1.14	         29.59亿	北京	7.58	7.69	163487	190506	  0.86	7.66	510	  0.59	
000555	神州信息	2.93	0.34	软件服务	1164	11.75	--  	11.96	388912	3686	          4.16	3.88	12.20	11.95	0.308㈢	    29.14	466352032	  1.14	        111.72亿	深圳	11.75	11.99	193337	195574	  0.99	11.95	926	  0.56	
300002	神州泰岳	2.90	0.44	软件服务	3292	4.42	--  	4.61	1055158	14549	          7.50	8.48	4.80	4.61	-0.078㈢	--  	485276928	  1.14	         64.84亿	北京	4.47	4.60	566903	488254	  1.16	4.60	1313	  0.54	
300312	邦讯技术	2.86	0.11	通信设备	647	8.85	--  	9.00	274819	1636	         14.36	4.00	9.20	9.00	-0.034㈢	--  	248831792	  1.17	         17.22亿	北京	8.85	9.05	124227	150591	  0.82	8.99	1957	  0.49	
603322	超讯通信	2.83	0.09	通信设备	140	33.56	--  	33.81	57369	595	         12.65	7.88	36.15	33.80	0.110㈢	   258.20	198282016	  1.22	         15.33亿	广东	35.45	34.56	25746	31622	  0.81	33.80	1	  1.71	
603083	剑桥科技	2.65	0.11	通信设备	442	26.10	--  	26.39	71330	976	         12.91	5.45	27.50	26.38	0.440㈢	    45.20	190383504	  1.13	         14.58亿	上海	27.06	26.69	38239	33090	  1.16	26.38	26	  1.52	
600525	长园集团	2.62	0.14	电气设备	4221	6.91	--  	7.07	1272460	8316	          9.74	4.80	7.24	7.06	0.980㈢	     5.49	900597120	  0.81	         92.19亿	深圳	6.95	7.08	677358	595101	  1.14	7.06	2707	  1.49	
002912	中新赛克	2.44	0.38	软件服务	7	102.75	--  	104.91	18168	101	          3.51	6.13	109.03	104.90	1.465㈢	    53.69	193038608	  1.31	         54.36亿	深圳	102.75	106.25	7729	10438	  0.74	104.90	1	  0.08	
300324	旋极信息	2.38	0.41	软件服务	523	7.02	--  	7.32	1094544	11821	         10.56	6.71	7.50	7.32	0.206㈢	    26.69	794674560	  0.85	         75.90亿	北京	7.07	7.26	550906	543638	  1.01	7.31	1517	  0.01	
300292	吴通控股	2.35	-0.45	软件服务	12842	4.23	--  	4.36	674037	6276	          6.55	4.71	4.43	4.35	0.097㈢	    33.66	292249184	  1.00	         44.79亿	江苏	4.30	4.34	310740	363296	  0.86	4.35	3634	 -0.01	
002169	智光电气	2.24	-0.21	电气设备	222	4.47	--  	4.57	304357	1085	          4.05	5.83	4.73	4.56	0.106㈢	    32.22	139572256	  1.31	         34.24亿	广东	4.52	4.59	155072	149285	  1.04	4.56	1425	 -0.12	
300007	汉威科技	2.21	0.00	电器仪表	252	11.50	--  	11.58	187856	1398	          8.28	7.33	12.33	11.58	0.309㈢	    28.10	222564176	  1.35	         26.28亿	河南	11.85	11.85	98756	89099	  1.11	11.57	170	 -0.16	
300208	青岛中程	2.14	0.15	电气设备	735	6.54	--  	6.68	176272	935	          2.90	4.75	6.85	6.67	0.339㈢	    14.78	117801384	  1.24	         40.50亿	山东	6.62	6.68	95617	80654	  1.19	6.67	710	 -0.22	
300672	国科微	2.02	0.19	半导体	28	47.21	--  	47.56	28705	339	          4.41	5.34	49.70	47.56	-0.432㈢	--  	139157312	  1.42	         30.96亿	湖南	48.77	48.48	15319	13386	  1.14	47.55	103	 -0.35	
300367	东方网力	2.01	0.18	电脑设备	1325	11.06	--  	11.17	458900	2763	          7.67	4.47	11.55	11.17	0.225㈢	    37.29	516372096	  1.30	         66.87亿	北京	11.26	11.25	244538	214362	  1.14	11.16	344	 -0.36	
600787	中储股份	1.95	0.48	仓储物流	309	6.14	--  	6.27	161824	1154	          0.74	4.07	6.39	6.26	0.033㈢	   140.24	101498144	  1.35	        137.71亿	天津	6.18	6.27	76915	84908	  0.91	6.26	983	  0.83	
002073	软控股份	1.95	0.00	软件服务	994	5.10	--  	5.24	431837	2842	          5.27	5.45	5.38	5.24	0.084㈢	    46.96	225276304	  1.56	         42.91亿	山东	5.15	5.22	217637	214199	  1.02	5.23	577	 -0.42	
300514	友讯达	1.93	0.24	通信设备	571	12.55	--  	12.71	77616	653	          8.59	3.05	12.93	12.70	0.119㈢	    79.71	98976024	  1.28	         11.47亿	深圳	12.60	12.75	37058	40557	  0.91	12.70	188	 -0.44	
300456	耐威科技	1.85	0.13	元器件	581	29.60	--  	30.31	92021	855	          6.41	4.30	30.88	30.30	0.300㈢	    93.76	278470464	  0.97	         43.50亿	北京	30.10	30.26	46175	45845	  1.01	30.30	71	 -0.52	
300166	东方国信	1.79	-0.06	软件服务	1342	14.60	--  	14.80	327988	2106	          4.05	6.19	15.50	14.80	0.173㈢	    64.29	493384096	  1.07	        119.98亿	北京	14.90	15.04	153602	174386	  0.88	14.79	318	 -0.58	
601360	三六零	1.78	0.08	互联网	380	26.09	--  	26.31	175747	1375	          4.42	4.57	27.27	26.30	0.380㈢	    53.03	468111584	  0.88	        104.46亿	江苏	26.50	26.64	87333	88413	  0.99	26.30	92	  0.66	
002079	苏州固锝	1.78	0.15	半导体	1062	6.77	--  	6.88	382784	4580	          5.27	3.70	7.02	6.88	0.095㈢	    54.06	264600576	  1.02	         49.98亿	江苏	6.88	6.91	177047	205737	  0.86	6.87	835	 -0.59	
300134	大富科技	1.76	0.35	通信设备	1329	13.90	--  	14.46	460497	3837	          6.46	7.46	14.96	14.45	-0.091㈢	--  	667980992	  1.04	        102.94亿	深圳	14.15	14.51	217907	242590	  0.90	14.45	74	 -0.60	
600734	实达集团	1.76	0.00	电脑设备	1347	8.46	--  	8.69	502448	4706	         14.17	5.98	8.97	8.68	0.200㈢	    32.61	440360672	  1.06	         30.79亿	福建	8.64	8.76	268996	233452	  1.15	8.68	897	  0.64	
300050	世纪鼎利	1.75	0.31	软件服务	802	6.30	--  	6.38	234813	2025	          6.36	4.47	6.58	6.38	0.058㈢	    81.89	151423840	  1.21	         23.55亿	广东	6.33	6.45	110965	123847	  0.90	6.37	1042	 -0.61	
600990	四创电子	1.71	0.02	通信设备	43	42.61	--  	43.33	25162	128	          1.84	3.52	44.11	43.32	-0.030㈢	--  	109372512	  1.03	         59.22亿	安徽	42.61	43.47	11780	13382	  0.88	43.32	3	  0.59	
300730	科创信息	1.70	0.15	软件服务	397	19.52	--  	19.75	109904	892	         14.54	4.79	20.45	19.75	0.024㈢	   609.74	219359824	  1.19	         14.93亿	湖南	19.70	19.96	49236	60668	  0.81	19.74	401	 -0.67	
600770	综艺股份	1.66	0.33	综合类	1283	6.06	--  	6.14	410517	2550	          3.16	4.31	6.32	6.13	0.065㈢	    70.21	253153984	  1.18	         79.69亿	江苏	6.13	6.17	202891	207626	  0.98	6.13	2542	  0.54	
300078	思创医惠	1.62	-0.19	元器件	387	9.95	--  	10.07	304980	1835	          4.18	3.54	10.30	10.06	0.135㈢	    55.97	309067616	  1.28	         73.37亿	浙江	10.20	10.13	158688	146292	  1.08	10.06	623	 -0.75	
