代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
000665	湖北广电	10.06	0.00	影视音像	65741	8.94	--  	--  	68222	50	          1.07	2.99	9.19	9.19	0.324㈢	    21.29	62549400	  0.90	         58.46亿	湖北	8.95	9.17	50761	17460	  2.91	9.19	0	  7.70	
300197	铁汉生态	9.93	0.00	环境保护	33263	4.40	--  	--  	1381418	1480	          9.21	10.61	4.87	4.87	0.160㈢	    22.86	659535936	  1.76	         73.01亿	深圳	4.50	4.77	695340	686077	  1.01	4.87	0	  7.57	
601929	吉视传媒	9.84	0.00	影视音像	42908	2.64	--  	--  	1617891	1146	          5.20	5.91	2.79	2.79	0.060㈢	    36.39	445395392	  2.86	         86.79亿	吉林	2.71	2.75	892326	725564	  1.23	2.79	0	  8.72	
600728	佳都科技	9.63	1.35	软件服务	5714	10.81	--  	11.27	1894057	17753	         11.81	4.86	11.31	11.27	0.070㈢	   121.49	2108389760	  2.24	        180.79亿	广东	11.31	11.13	1041367	852690	  1.22	11.26	1122	  8.51	
600031	三一重工	7.65	-0.08	工程机械	225	10.93	--  	11.55	2681238	19645	          3.45	8.02	11.79	11.54	0.630㈢	    13.83	3085041920	  2.42	        895.85亿	北京	11.00	11.51	1301433	1379805	  0.94	11.54	843	  6.53	
300422	博世科	7.36	0.41	环境保护	1	11.36	--  	12.25	232831	1384	          8.80	10.43	12.55	12.25	0.492㈢	    18.67	281793760	  2.04	         32.41亿	广西	11.36	12.10	90290	142541	  0.63	12.24	961	  5.00	
300388	国祯环保	7.34	0.18	环境保护	357	10.58	--  	11.27	191762	929	          3.56	9.15	11.54	11.26	0.420㈢	    20.31	214819168	  2.49	         60.61亿	安徽	10.58	11.20	85010	106751	  0.80	11.26	249	  4.98	
002273	水晶光电	7.10	0.69	元器件	141	12.35	--  	13.12	569146	5654	          7.00	8.49	13.39	13.12	0.470㈢	    20.97	726853440	  1.73	        106.65亿	浙江	12.49	12.77	258807	310339	  0.83	13.11	4908	  4.74	
600567	山鹰纸业	7.03	0.25	造纸	1268	3.74	--  	3.97	2187595	15532	          4.77	8.92	4.07	3.96	0.510㈢	     5.88	848788608	  2.22	        181.55亿	安徽	3.74	3.88	912388	1275207	  0.72	3.96	13690	  5.91	
603588	高能环境	6.85	0.19	环境保护	974	9.71	--  	10.30	234348	2218	          3.58	7.99	10.48	10.30	0.365㈢	    21.14	238360976	  2.08	         67.40亿	北京	9.80	10.17	101586	132762	  0.77	10.29	6	  5.72	
000070	特发信息	6.47	-0.11	通信设备	475	15.66	--  	16.28	1081736	11568	         18.02	7.26	16.77	16.28	0.262㈢	    46.60	1752128256	  1.12	         97.73亿	深圳	16.00	16.20	552691	529044	  1.04	16.27	3132	  4.11	
002548	金新农	5.74	0.22	饲料	95	8.54	--  	9.03	165819	837	          4.90	7.50	9.18	9.02	-0.140㈢	--  	147407008	  1.37	         30.53亿	深圳	8.66	8.89	84217	81601	  1.03	9.02	324	  3.38	
