代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300008	天海防务	10.14	3.83	船舶	49897	3.38	--  	--  	1319724	39753	         21.91	12.17	3.80	3.80	-1.379㈢	--  	468144736	  1.13	         22.89亿	上海	3.40	3.55	636783	682940	  0.93	3.80	0	  7.78	
601700	风范股份	10.02	0.00	电气设备	9064	8.15	--  	--  	1574180	11557	         13.89	12.77	9.22	9.22	0.035㈢	   195.94	1384298240	  1.34	        104.48亿	江苏	8.41	8.79	758828	815352	  0.93	9.22	0	  8.90	
002903	宇环数控	10.02	0.00	机床制造	4249	18.22	--  	--  	187012	173	         28.34	10.29	20.10	20.10	0.284㈢	    53.08	366120704	  2.55	         13.27亿	湖南	18.39	19.58	106717	80294	  1.33	20.10	0	  7.65	
600072	中船科技	10.01	0.00	船舶	25857	9.80	--  	--  	446367	2879	          7.43	9.91	10.77	10.77	0.004㈢	  2257.89	461120192	  1.71	         64.70亿	上海	9.80	10.33	223351	223016	  1.00	10.77	0	  8.89	
601890	亚星锚链	9.98	0.00	船舶	21464	5.20	--  	--  	1026286	2455	         10.70	12.05	5.84	5.84	-0.005㈢	--  	574517184	  2.17	         56.03亿	江苏	5.40	5.60	479631	546654	  0.88	5.84	0	  8.86	
601608	中信重工	9.98	0.00	专用机械	99886	4.40	--  	--  	1583529	2889	          3.65	7.89	4.74	4.74	0.020㈢	   218.01	736953472	  2.05	        205.69亿	河南	4.54	4.65	841305	742224	  1.13	4.74	0	  8.86	
600375	华菱星马	9.94	0.00	汽车整车	243988	5.53	--  	--  	20791	71	          0.37	0.00	5.53	5.53	0.027㈢	   155.36	11497213	  0.13	         30.73亿	安徽	5.53	5.53	16568	4222	  3.92	5.53	0	  8.82	
600031	三一重工	7.65	-0.08	工程机械	225	10.93	--  	11.55	2681238	19645	          3.45	8.02	11.79	11.54	0.630㈢	    13.83	3085041920	  2.42	        895.85亿	北京	11.00	11.51	1301433	1379805	  0.94	11.54	843	  6.53	
600218	全柴动力	6.98	-0.29	农用机械	568	11.95	--  	13.18	921812	10444	         25.00	12.82	13.53	13.18	0.100㈢	    99.29	1174402432	  1.15	         48.60亿	安徽	12.87	12.74	442073	479738	  0.92	13.17	1376	  5.86	
601100	恒立液压	6.42	0.44	工程机械	5	28.15	--  	29.82	119728	280	          1.36	7.03	30.12	29.82	0.816㈢	    27.42	351795648	  2.13	        263.01亿	江苏	28.30	29.38	56761	62966	  0.90	29.81	329	  5.30	
600685	中船防务	6.27	0.19	船舶	1879	14.60	--  	15.77	298332	8528	          3.63	8.43	15.85	15.76	-0.408㈢	--  	450750720	  1.29	        129.46亿	广东	14.78	15.11	147322	151009	  0.98	15.76	384	  5.15	
000338	潍柴动力	6.18	0.00	汽车配件	1276	9.94	--  	10.65	1702075	11348	          4.01	10.27	10.97	10.65	0.756㈢	    10.56	1796992640	  1.86	        451.97亿	山东	10.08	10.56	771336	930738	  0.83	10.64	624	  3.82	
000425	徐工机械	4.49	0.24	工程机械	6142	4.06	--  	4.19	2567525	12265	          3.67	6.23	4.31	4.19	0.192㈢	    16.33	1077102976	  1.93	        293.03亿	江苏	4.09	4.20	1176275	1391250	  0.85	4.18	6369	  2.12	
600885	宏发股份	4.15	1.24	电气设备	18	25.59	--  	26.84	67908	367	          0.91	5.47	27.00	26.84	0.790㈢	    25.48	180707024	  1.39	        199.89亿	湖北	25.81	26.61	31601	36306	  0.87	26.83	14	  3.03	
601989	中国重工	4.13	2.02	船舶	7369	5.29	--  	5.56	3308750	97003	          1.80	4.88	5.55	5.55	0.062㈢	    67.30	1783735808	  1.37	       1019.07亿	北京	5.34	5.39	1636650	1672099	  0.98	5.55	7325	  3.01	
600495	晋西车轴	3.83	0.18	运输设备	1209	5.20	--  	5.43	623494	6936	          5.16	9.20	5.68	5.42	0.033㈢	   123.30	336629728	  1.37	         65.48亿	山西	5.27	5.40	278984	344509	  0.81	5.42	2511	  2.71	
601106	中国一重	3.56	0.49	工程机械	3726	4.00	--  	4.08	2021808	27375	          3.09	7.12	4.28	4.07	0.015㈢	   203.49	834156416	  1.42	        266.10亿	黑龙江	4.01	4.13	967712	1054095	  0.92	4.07	7919	  2.44	
300024	机器人	3.35	0.17	专用机械	1010	17.00	--  	17.27	471214	3640	          3.11	4.49	17.75	17.27	0.211㈢	    61.38	820223168	  1.32	        261.40亿	辽宁	17.25	17.41	245281	225932	  1.09	17.26	2681	  0.99	
600406	国电南瑞	3.29	0.00	软件服务	490	18.90	--  	19.17	531743	3514	          2.08	3.99	19.64	19.17	0.520㈢	    28.46	1026720576	  1.40	        489.45亿	江苏	18.90	19.31	299738	232004	  1.29	19.16	177	  2.17	
600468	百利电气	3.28	0.34	电气设备	1096	5.80	--  	6.00	115267	664	          1.42	4.66	6.07	5.99	0.058㈢	    78.06	68699904	  1.19	         48.59亿	天津	5.81	5.96	57441	57826	  0.99	5.99	685	  2.15	
600501	航天晨光	2.95	0.39	汽车配件	658	7.46	--  	7.69	146308	1015	          3.47	4.02	7.76	7.69	-0.156㈢	--  	112055144	  1.13	         32.40亿	江苏	7.48	7.66	68948	77360	  0.89	7.68	1027	  1.82	
000410	沈阳机床	2.64	0.12	机床制造	2932	8.13	--  	8.56	449612	5028	          6.07	12.47	9.17	8.56	-0.229㈢	--  	388662176	  1.21	         63.37亿	辽宁	8.36	8.64	234882	214730	  1.09	8.55	55	  0.27	
000880	潍柴重机	2.63	0.67	机械基件	377	8.76	--  	8.99	55361	638	          4.10	4.00	9.11	8.99	0.220㈢	    30.62	49210640	  1.31	         12.15亿	山东	8.77	8.89	26742	28618	  0.93	8.96	1617	  0.26	
601222	林洋能源	2.14	0.00	电器仪表	1084	5.58	--  	5.74	564178	10003	          3.23	3.03	5.75	5.73	0.370㈢	    11.72	319814688	  1.16	        100.21亿	江苏	5.62	5.67	283438	280739	  1.01	5.73	5558	  1.02	
600765	中航重机	2.12	-0.09	机械基件	305	9.92	--  	10.11	218580	2031	          2.81	3.33	10.25	10.11	0.428㈣	    23.61	219805088	  0.85	         78.66亿	贵州	9.92	10.06	114350	104230	  1.10	10.10	1168	  1.00	
300161	华中数控	2.08	-0.06	机床制造	443	13.33	--  	13.72	58701	616	          3.50	4.09	13.88	13.72	-0.342㈢	--  	80041328	  1.14	         23.04亿	湖北	13.51	13.64	26147	32553	  0.80	13.71	15	 -0.28	
600169	太原重工	2.05	1.36	工程机械	319	2.89	--  	2.99	825518	6420	          3.22	6.48	3.08	2.99	0.003㈢	   881.13	246271920	  1.28	         76.66亿	山西	2.93	2.98	407902	417616	  0.98	2.98	2366	  0.93	
000768	中航飞机	1.97	0.55	航空	1179	16.20	--  	16.56	386173	4456	          1.39	3.26	16.73	16.56	0.084㈢	   148.02	635702144	  1.05	        458.48亿	陕西	16.37	16.46	180011	206161	  0.87	16.55	625	 -0.39	
000617	中油资本	1.96	0.30	多元金融	243	13.14	--  	13.54	132521	726	          4.61	8.21	14.23	13.53	0.638㈢	    15.90	180336160	  1.23	         38.90亿	山东	13.30	13.61	65959	66562	  0.99	13.53	32	 -0.41	
600150	*ST船舶	1.92	-0.37	船舶	1495	15.50	--  	15.90	260072	3482	          1.89	4.43	16.19	15.89	0.225㈢	    53.03	411588256	  1.46	        218.98亿	上海	15.86	15.83	159174	100897	  1.58	15.89	289	  0.80	
000157	中联重科	1.89	-0.22	工程机械	5505	4.23	--  	4.32	809602	4652	          1.29	4.26	4.41	4.31	0.170㈢	    19.37	351305440	  1.69	        271.17亿	湖南	4.24	4.34	342897	466705	  0.73	4.31	1844	 -0.47	
600316	洪都航空	1.87	0.37	航空	538	13.28	--  	13.61	303143	2987	          4.23	5.17	13.97	13.60	-0.108㈢	--  	411659040	  1.05	         97.53亿	江西	13.45	13.58	149075	154067	  0.97	13.60	124	  0.75	
