代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
000876	新 希 望	10.03	0.00	饲料	21653	11.76	--  	--  	1226124	2450	          2.94	6.60	12.51	12.51	0.344㈢	    27.27	1513178112	  1.44	        522.35亿	四川	12.05	12.34	660785	565339	  1.17	12.51	0	  7.66	
300498	温氏股份	10.00	0.06	农业综合	10264	34.20	--  	--  	822687	4433	          2.21	6.36	36.30	36.30	0.546㈢	    49.88	2900198144	  1.65	       1349.47亿	广东	34.20	35.25	295968	526718	  0.56	36.30	0	  7.64	
300070	碧水源	9.97	0.10	环境保护	1543	9.61	--  	10.48	1258299	8844	          6.24	9.13	10.48	10.48	0.182㈢	    43.19	1291084160	  1.90	        211.22亿	北京	9.62	10.26	614239	644060	  0.95	10.47	12904	  7.60	
600728	佳都科技	9.63	1.35	软件服务	5714	10.81	--  	11.27	1894057	17753	         11.81	4.86	11.31	11.27	0.070㈢	   121.49	2108389760	  2.24	        180.79亿	广东	11.31	11.13	1041367	852690	  1.22	11.26	1122	  8.51	
002567	唐人神	9.17	2.00	饲料	514	8.52	--  	9.18	389402	24466	          5.14	7.74	9.17	9.17	0.152㈢	    45.34	345921248	  1.11	         69.44亿	湖南	8.72	8.88	185993	203408	  0.91	9.17	1994	  6.80	
600031	三一重工	7.65	-0.08	工程机械	225	10.93	--  	11.55	2681238	19645	          3.45	8.02	11.79	11.54	0.630㈢	    13.83	3085041920	  2.42	        895.85亿	北京	11.00	11.51	1301433	1379805	  0.94	11.54	843	  6.53	
002146	荣盛发展	5.83	0.29	全国地产	601	9.85	--  	10.35	980565	6693	          2.52	6.55	10.49	10.34	0.860㈢	     9.02	1003048064	  1.84	        402.59亿	河北	9.86	10.23	443615	536949	  0.83	10.34	1867	  3.47	
002450	ST康得新	5.04	0.00	化工原料	296424	6.88	--  	--  	24844	481	          0.08	0.00	6.88	6.88	0.622㈢	     8.30	17092864	  0.02	        222.48亿	江苏	6.88	6.88	23202	1642	 14.13	6.88	0	  2.67	
002310	东方园林	4.17	0.34	建筑施工	3084	8.42	--  	8.75	1647695	13781	         10.72	7.87	9.08	8.74	0.360㈢	    18.05	1450336768	  1.35	        134.39亿	北京	8.49	8.80	830629	817066	  1.02	8.74	9152	  1.81	
002075	沙钢股份	4.17	-0.18	特种钢	1633	9.83	--  	10.25	866245	6541	          3.93	8.85	10.70	10.24	0.450㈢	    17.06	881203584	  1.18	        225.97亿	江苏	9.85	10.17	453292	412953	  1.10	10.24	477	  1.81	
603366	日出东方	3.84	0.21	家用电器	913	4.70	--  	4.88	216460	3978	          2.71	5.33	4.95	4.87	-0.053㈢	--  	104811328	  0.84	         38.96亿	江苏	4.75	4.84	100062	116398	  0.86	4.87	4852	  2.72	
600410	华胜天成	3.57	0.83	软件服务	1597	7.07	--  	7.26	584483	3750	          5.32	5.86	7.48	7.25	0.046㈢	   117.09	424425440	  1.48	         79.66亿	北京	7.16	7.26	274834	309649	  0.89	7.25	486	  2.45	
300616	尚品宅配	3.04	-0.07	家居用品	19	80.29	--  	82.47	11954	42	          1.75	8.99	87.48	82.43	1.500㈢	    41.95	98977064	  1.66	         56.20亿	广东	80.30	82.80	5902	6051	  0.98	82.43	1	  0.67	
002269	美邦服饰	2.92	0.36	服饰	3137	2.74	--  	2.83	148262	2050	          0.59	4.38	2.86	2.82	0.016㈢	   132.39	41673896	  1.13	         70.85亿	上海	2.77	2.81	74929	73332	  1.02	2.82	1664	  0.56	
