代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300491	通合科技	10.02	0.00	电气设备	18745	16.56	--  	--  	69985	67	         12.23	10.02	18.22	18.22	0.022㈢	   611.71	123142280	  1.53	         10.43亿	河北	16.56	17.60	31341	38644	  0.81	18.22	0	  7.66	
002190	成飞集成	9.99	0.00	汽车配件	4364	18.85	--  	--  	240775	1497	          6.98	12.42	21.25	21.25	-0.278㈢	--  	481463296	  2.16	         73.35亿	四川	19.08	20.00	110469	130306	  0.85	21.25	0	  7.63	
002518	科士达	9.98	0.00	电器仪表	7118	10.22	--  	--  	325478	545	          5.83	9.98	11.24	11.24	0.381㈢	    22.12	355087872	  1.60	         62.71亿	深圳	10.42	10.91	153199	172279	  0.89	11.24	0	  7.62	
002519	银河电子	9.93	0.00	通信设备	56737	4.23	--  	--  	789252	522	          9.49	4.96	4.43	4.43	0.117㈢	    28.38	346985280	  2.12	         36.84亿	江苏	4.31	4.40	567976	221275	  2.57	4.43	0	  7.56	
002123	梦网集团	7.83	-0.47	互联网	43	11.63	--  	12.40	564913	5777	          8.75	8.87	12.65	12.40	0.188㈢	    49.49	689967744	  1.28	         80.03亿	深圳	11.70	12.21	284441	280472	  1.01	12.39	2328	  5.46	
002441	众业达	6.99	-0.11	批发业	445	7.91	--  	8.58	254829	2609	          6.49	9.74	8.69	8.57	0.343㈢	    18.74	210175280	  2.06	         33.66亿	广东	7.99	8.25	120786	134043	  0.90	8.57	234	  4.63	
002364	中恒电气	6.13	0.45	电气设备	5	10.63	--  	11.25	214309	2413	          4.16	8.96	11.58	11.25	0.158㈢	    53.40	237290768	  1.36	         57.98亿	浙江	10.66	11.07	101571	112738	  0.90	11.24	477	  3.77	
002357	富临运业	5.99	-0.29	公路	589	6.15	--  	6.56	129129	2718	          4.12	6.96	6.58	6.55	0.156㈢	    31.53	81996216	  1.60	         20.52亿	四川	6.19	6.35	48238	80890	  0.60	6.55	2624	  3.62	
002335	科华恒盛	5.60	0.22	电气设备	243	17.18	--  	18.15	92291	1324	          4.10	7.70	18.50	18.10	0.396㈢	    34.24	164343392	  2.03	         40.77亿	福建	17.18	17.81	38252	54039	  0.71	18.10	32	  3.24	
002276	万马股份	5.38	0.28	电气设备	604	6.80	--  	7.05	521439	3308	          5.04	6.58	7.24	7.05	0.065㈢	    81.78	367656736	  1.50	         72.90亿	浙江	6.80	7.05	275529	245909	  1.12	7.04	1060	  3.02	
002227	奥 特 迅	4.96	0.64	电气设备	599	13.66	--  	14.19	97287	879	          4.42	6.43	14.53	14.19	-0.045㈢	--  	137574576	  1.57	         31.20亿	深圳	13.73	14.14	43655	53631	  0.81	14.18	185	  2.59	
002076	雪 莱 特	4.84	0.82	家用电器	1785	3.51	--  	3.69	421045	9719	          9.45	5.41	3.70	3.68	-0.071㈢	--  	151757472	  1.52	         16.39亿	广东	3.53	3.60	159926	261118	  0.61	3.68	4841	  2.48	
002121	科陆电子	4.47	0.75	电器仪表	1031	5.20	--  	5.37	197683	5183	          2.18	3.50	5.38	5.37	0.014㈢	   286.34	104918840	  1.14	         48.63亿	深圳	5.25	5.31	93226	104457	  0.89	5.36	181	  2.11	
002028	思源电气	4.06	-0.07	电气设备	390	11.56	--  	12.06	312827	2824	          5.39	5.95	12.25	12.06	0.315㈢	    28.69	373443232	  1.72	         69.97亿	上海	11.65	11.94	142462	170364	  0.84	12.05	119	  1.69	
002442	龙星化工	3.98	0.00	化工原料	1036	7.54	--  	7.84	149343	2781	          3.11	4.38	7.87	7.83	0.277㈣	    28.32	115165544	  1.65	         37.55亿	河北	7.58	7.71	69039	80304	  0.86	7.83	471	  1.62	
300376	易事特	3.71	0.17	电气设备	509	5.62	--  	5.87	489475	3343	          2.13	7.95	6.07	5.87	0.239㈢	    18.43	287595904	  1.46	        134.98亿	广东	5.66	5.88	243351	246123	  0.99	5.86	236	  1.35	
300141	和顺电气	3.30	0.64	电气设备	451	9.11	--  	9.39	115806	1044	          7.06	4.07	9.48	9.38	0.001㈢	  5613.49	108080776	  0.94	         15.38亿	江苏	9.22	9.33	56670	59135	  0.96	9.38	137	  0.94	
600406	国电南瑞	3.29	0.00	软件服务	490	18.90	--  	19.17	531743	3514	          2.08	3.99	19.64	19.17	0.520㈢	    28.46	1026720576	  1.40	        489.45亿	江苏	18.90	19.31	299738	232004	  1.29	19.16	177	  2.17	
002706	良信电器	3.14	0.16	电气设备	357	6.07	--  	6.25	138321	795	          2.54	5.45	6.40	6.25	0.280㈢	    16.75	86508272	  1.31	         33.97亿	上海	6.07	6.25	62769	75551	  0.83	6.24	252	  0.77	
300001	特锐德	2.80	-0.23	电气设备	268	24.18	--  	24.57	242963	1899	          2.63	6.49	25.73	24.57	0.144㈢	   127.96	605742912	  1.49	        227.20亿	山东	24.20	24.93	118675	124288	  0.95	24.56	80	  0.44	
