代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
000917	电广传媒	10.02	0.00	影视音像	53152	8.69	--  	--  	1586884	806	         12.26	6.32	9.22	9.22	-0.095㈢	--  	1442531328	  1.15	        119.37亿	湖南	8.99	9.09	924136	662748	  1.39	9.22	0	  7.66	
300366	创意信息	10.01	0.00	软件服务	21700	8.47	--  	--  	152515	333	          4.74	4.01	8.79	8.79	0.158㈢	    41.71	133606128	  0.91	         28.31亿	四川	8.51	8.76	120353	32161	  3.74	8.79	0	  7.65	
300538	同益股份	10.01	0.00	批发业	42837	30.11	--  	--  	11181	101	          4.66	0.00	30.11	30.11	0.300㈢	    73.28	33667316	  0.64	          7.23亿	深圳	30.11	30.11	10531	650	 16.20	30.11	0	  7.65	
300679	电连技术	9.50	1.16	元器件	114	33.73	--  	36.79	105838	2341	         10.48	9.59	36.95	36.78	0.932㈢	    29.59	379696640	  1.41	         37.16亿	深圳	33.73	35.88	45707	60131	  0.76	36.78	237	  7.13	
002547	春兴精工	8.14	1.01	通信设备	2455	8.40	--  	9.03	1364683	21232	         17.11	8.98	9.15	9.03	0.039㈢	   173.01	1207545728	  0.95	         72.03亿	江苏	8.40	8.85	614212	750470	  0.82	9.02	996	  5.78	
300687	赛意信息	5.96	1.12	软件服务	194	25.55	--  	26.16	88662	538	         14.16	6.45	27.14	26.14	0.480㈢	    41.54	234810192	  1.82	         16.37亿	广东	25.55	26.48	48362	40299	  1.20	26.14	149	  3.59	
300379	东方通	5.13	-0.13	软件服务	226	20.08	--  	20.91	169304	1290	          8.81	8.05	21.68	20.90	0.081㈢	   193.29	353326464	  1.15	         40.18亿	北京	20.08	20.87	81599	87704	  0.93	20.90	38	  2.77	
002194	*ST凡谷	5.00	0.00	通信设备	5184	11.15	--  	--  	148303	17	          2.80	1.76	11.34	11.34	-0.094㈢	--  	167617712	  1.24	         60.14亿	湖北	11.16	11.30	83746	64556	  1.30	11.34	0	  2.64	
300310	宜通世纪	4.95	0.16	通信设备	689	6.00	--  	6.36	952505	11806	         15.16	9.08	6.55	6.36	-0.645㈢	--  	595671232	  1.20	         39.96亿	广东	6.17	6.25	448972	503533	  0.89	6.35	745	  2.59	
300548	博创科技	4.64	-0.01	元器件	49	40.31	--  	42.38	28398	108	          8.33	9.38	44.11	42.38	0.540㈢	    59.12	121485560	  1.25	         14.46亿	浙江	40.53	42.78	13580	14818	  0.92	42.34	50	  2.28	
300598	诚迈科技	4.12	0.29	软件服务	377	23.66	--  	24.51	46227	743	          9.56	3.61	24.51	24.51	0.123㈢	   149.90	111793960	  1.21	         11.85亿	江苏	23.70	24.18	22048	24178	  0.91	24.50	10	  1.76	
300433	蓝思科技	3.44	0.00	元器件	1535	8.80	--  	9.03	778535	5255	          1.99	6.88	9.40	9.02	0.270㈢	    24.95	708454144	  1.44	        352.71亿	湖南	8.80	9.10	376921	401614	  0.94	9.02	2324	  1.08	
600189	吉林森工	3.39	0.00	林业	744	4.41	--  	4.57	104773	2087	          2.46	3.85	4.58	4.57	0.049㈢	    69.37	47171604	  1.24	         19.45亿	吉林	4.44	4.50	40657	64115	  0.63	4.56	5	  2.27	
002706	良信电器	3.14	0.16	电气设备	357	6.07	--  	6.25	138321	795	          2.54	5.45	6.40	6.25	0.280㈢	    16.75	86508272	  1.31	         33.97亿	上海	6.07	6.25	62769	75551	  0.83	6.24	252	  0.77	
300735	光弘科技	3.02	0.14	通信设备	384	21.12	--  	21.49	116558	642	         10.68	5.08	22.18	21.49	0.500㈢	    32.25	252901728	  1.45	         23.46亿	广东	21.18	21.70	51283	65275	  0.79	21.48	106	  0.66	
