代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
600776	东方通信	10.02	0.00	通信设备	68051	27.30	--  	--  	1151946	970	         12.05	11.28	30.42	30.42	0.061㈢	   373.60	3360540928	  0.89	        290.82亿	浙江	27.82	29.17	552184	599762	  0.92	30.42	0	  8.90	
000037	深南电A	9.99	0.00	火力发电	5394	8.63	--  	--  	240380	191	          7.09	13.13	9.80	9.80	0.062㈢	   119.17	226687152	  1.33	         33.21亿	深圳	8.90	9.43	100399	139980	  0.72	9.80	0	  7.62	
600604	市北高新	9.98	0.00	园区开发	50851	11.88	--  	--  	2454147	472	         18.39	9.48	13.00	13.00	0.031㈢	   318.89	3099451392	  1.42	        173.44亿	上海	12.34	12.63	1308396	1145751	  1.14	13.00	0	  8.86	
600094	大名城	9.96	0.00	区域地产	45657	5.38	--  	--  	198771	35	          0.87	2.79	5.52	5.52	0.022㈢	   184.21	109139920	  0.92	        125.67亿	上海	5.39	5.49	136609	62162	  2.20	5.52	0	  8.84	
600613	神奇制药	9.94	0.00	中成药	23466	7.10	--  	--  	177612	65	          3.71	6.14	7.52	7.52	0.121㈢	    46.54	131089360	  1.61	         36.04亿	上海	7.24	7.38	102536	75075	  1.37	7.52	0	  8.82	
000016	深康佳Ａ	6.48	1.77	家用电器	1555	4.45	--  	4.60	550761	8774	          3.45	6.02	4.71	4.60	0.179㈢	    19.33	252421264	  1.46	         73.44亿	深圳	4.53	4.58	253111	297649	  0.85	4.59	8331	  4.12	
600751	海航科技	5.13	0.82	水运	3915	3.55	--  	3.69	868156	8175	          3.37	5.70	3.75	3.69	0.015㈢	   183.96	318307904	  1.01	         94.95亿	天津	3.55	3.67	415722	452433	  0.92	3.68	5555	  4.01	
600610	*ST毅达	4.93	0.00	建筑施工	16714	3.62	--  	--  	9101	10	          0.24	0.00	3.62	3.62	-0.020㈢	--  	3294595	  0.08	         13.60亿	上海	3.62	3.62	7827	1274	  6.14	3.62	0	  3.81	
600614	鹏起科技	4.62	0.99	综合类	860	5.79	--  	6.11	1158927	19342	          7.67	7.53	6.23	6.11	0.091㈢	    50.26	698995264	  0.80	         92.35亿	上海	5.84	6.03	558476	600451	  0.93	6.10	673	  3.50	
600845	宝信软件	4.03	0.03	软件服务	23	29.50	--  	30.17	108154	882	          1.69	5.17	31.00	30.17	0.630㈢	    38.29	327332320	  1.38	        193.34亿	上海	29.50	30.27	36692	71462	  0.51	30.16	92	  2.91	
600602	云赛智联	3.84	0.00	软件服务	1534	6.36	--  	6.49	171602	859	          1.66	4.96	6.67	6.49	0.133㈢	    36.68	112390032	  1.58	         67.07亿	上海	6.36	6.55	89505	82096	  1.09	6.48	718	  2.72	
600851	海欣股份	3.42	0.12	纺织	130	7.87	--  	8.17	94976	936	          1.29	4.68	8.24	8.17	0.086㈢	    71.26	76828208	  1.40	         60.31亿	上海	7.90	8.09	39338	55638	  0.71	8.16	318	  2.30	
600844	丹化科技	2.56	-0.24	化工原料	934	3.91	--  	4.01	137294	3443	          1.67	3.59	4.05	4.00	0.003㈢	  1048.04	54843216	  0.82	         32.91亿	上海	3.95	3.99	69034	68259	  1.01	4.00	136	  1.44	
000020	深华发Ａ	2.46	1.22	元器件	27	12.10	--  	12.49	33549	2546	          1.85	3.53	12.53	12.48	0.002㈢	  5328.48	41462104	  1.26	         22.61亿	深圳	12.16	12.36	13705	19844	  0.69	12.48	49	  0.10	
600822	上海物贸	2.37	0.10	商贸代理	216	9.69	--  	9.93	170189	1179	          4.30	7.84	10.45	9.92	0.082㈢	    90.49	168854128	  1.92	         39.30亿	上海	9.80	9.92	85395	84793	  1.01	9.92	76	  1.25	
600612	老凤祥	2.24	0.19	服饰	126	40.70	--  	42.00	38714	502	          1.22	3.26	42.04	42.00	1.888㈢	    16.68	161184816	  1.44	        133.19亿	上海	40.93	41.63	19654	19060	  1.03	41.99	119	  1.12	
000521	长虹美菱	2.16	0.26	家用电器	8274	3.76	--  	3.79	318861	4947	          3.97	2.96	3.87	3.79	0.063㈢	    45.24	121784024	  0.99	         30.42亿	安徽	3.79	3.82	170070	148791	  1.14	3.78	1652	 -0.21	
600679	上海凤凰	1.94	0.52	文教休闲	734	11.33	--  	11.56	43540	587	          1.89	2.91	11.66	11.55	0.066㈢	   130.55	50153800	  0.87	         26.63亿	上海	11.38	11.52	20351	23189	  0.88	11.55	263	  0.82	
600555	海航创新	1.92	1.27	旅游服务	2339	3.08	--  	3.19	395794	8891	          4.07	3.53	3.19	3.18	-0.003㈢	--  	124344104	  1.20	         30.96亿	海南	3.13	3.14	179911	215882	  0.83	3.18	7004	  0.80	
600689	上海三毛	1.91	0.27	纺织	277	11.04	--  	11.19	129679	2558	          8.52	3.10	11.38	11.18	0.012㈢	   707.82	145016672	  0.68	         17.02亿	上海	11.23	11.18	62596	67082	  0.93	11.18	221	  0.79	
