代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002017	东信和平	10.01	0.00	通信设备	41911	14.70	--  	--  	223620	290	          6.48	5.61	15.49	15.49	0.089㈢	   131.12	340768896	  0.45	         53.46亿	广东	14.84	15.24	101038	122581	  0.82	15.49	0	  7.65	
300720	海川智能	9.24	-0.09	电器仪表	137	28.04	--  	28.84	72249	459	         30.00	3.79	29.04	28.84	0.409㈢	    52.93	207902016	  3.31	          6.95亿	广东	29.04	28.78	42024	30225	  1.39	28.83	73	  6.88	
600383	金地集团	8.03	1.06	全国地产	1320	11.55	--  	12.38	978696	11398	          2.17	9.00	12.58	12.37	1.162㈢	     7.98	1186030720	  2.51	        558.45亿	深圳	11.60	12.12	470455	508241	  0.93	12.37	1001	  6.91	
600685	中船防务	6.27	0.19	船舶	1879	14.60	--  	15.77	298332	8528	          3.63	8.43	15.85	15.76	-0.408㈢	--  	450750720	  1.29	        129.46亿	广东	14.78	15.11	147322	151009	  0.98	15.76	384	  5.15	
600185	格力地产	4.66	0.20	区域地产	690	4.73	--  	4.94	319166	3502	          1.55	8.90	5.15	4.94	0.190㈢	    19.57	156957184	  1.93	        101.77亿	广东	4.74	4.92	143494	175671	  0.82	4.93	1319	  3.54	
002869	金溢科技	4.42	0.43	通信设备	8	18.17	--  	18.89	49119	669	         10.81	8.57	19.72	18.89	-0.021㈢	--  	92816392	  2.09	          8.59亿	深圳	18.25	18.90	22514	26604	  0.85	18.85	33	  2.06	
000040	东旭蓝天	4.18	0.37	新型电力	2075	7.93	--  	8.23	728186	7155	          6.87	4.43	8.28	8.23	1.050㈢	     6.53	592916608	  1.56	         87.26亿	深圳	7.93	8.14	327378	400807	  0.82	8.22	2158	  1.81	
600048	保利地产	4.12	0.14	全国地产	4935	13.39	--  	13.91	2891193	19770	          2.46	7.04	14.33	13.90	0.810㈢	    12.92	3999716608	  1.79	       1636.44亿	广东	13.40	13.83	1369550	1521643	  0.90	13.90	845	  3.00	
000062	深圳华强	3.92	0.00	批发业	151	20.15	--  	20.96	98178	1717	          1.39	7.44	21.65	20.95	0.719㈢	    21.84	202649504	  1.59	        147.87亿	深圳	20.20	20.64	48903	49274	  0.99	20.95	49	  1.55	
001979	招商蛇口	3.44	0.27	全国地产	12	21.27	--  	21.96	794809	5008	          3.38	6.55	22.66	21.95	1.020㈢	    15.72	1751412864	  1.55	        516.20亿	深圳	21.27	22.04	380458	414350	  0.92	21.95	71	  1.08	
000513	丽珠集团	3.03	-0.02	中成药	121	33.69	--  	34.69	118500	691	          2.59	3.95	35.02	34.69	1.307㈢	    19.90	408496736	  0.92	        158.97亿	广东	33.70	34.47	64367	54133	  1.19	34.68	400	  0.66	
600325	华发股份	2.98	0.00	区域地产	6042	7.40	--  	7.61	689577	2524	          3.28	4.20	7.71	7.60	0.765㈢	     7.45	524260544	  1.45	        159.93亿	广东	7.43	7.60	329159	360418	  0.91	7.60	2497	  1.86	
