代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002112	三变科技	10.03	0.00	电气设备	46674	7.33	--  	--  	122510	7	          6.67	1.92	7.46	7.46	-0.223㈢	--  	91335696	  2.39	         13.71亿	浙江	7.46	7.46	108318	14191	  7.63	7.46	0	  7.66	
601700	风范股份	10.02	0.00	电气设备	9064	8.15	--  	--  	1574180	11557	         13.89	12.77	9.22	9.22	0.035㈢	   195.94	1384298240	  1.34	        104.48亿	江苏	8.41	8.79	758828	815352	  0.93	9.22	0	  8.90	
000917	电广传媒	10.02	0.00	影视音像	53152	8.69	--  	--  	1586884	806	         12.26	6.32	9.22	9.22	-0.095㈢	--  	1442531328	  1.15	        119.37亿	湖南	8.99	9.09	924136	662748	  1.39	9.22	0	  7.66	
601890	亚星锚链	9.98	0.00	船舶	21464	5.20	--  	--  	1026286	2455	         10.70	12.05	5.84	5.84	-0.005㈢	--  	574517184	  2.17	         56.03亿	江苏	5.40	5.60	479631	546654	  0.88	5.84	0	  8.86	
002276	万马股份	5.38	0.28	电气设备	604	6.80	--  	7.05	521439	3308	          5.04	6.58	7.24	7.05	0.065㈢	    81.78	367656736	  1.50	         72.90亿	浙江	6.80	7.05	275529	245909	  1.12	7.04	1060	  3.02	
300076	GQY视讯	5.33	0.78	电脑设备	160	5.02	--  	5.15	307140	8560	          8.04	3.69	5.20	5.14	0.078㈢	    49.36	156403424	  1.38	         19.63亿	浙江	5.04	5.09	128735	178404	  0.72	5.14	2218	  2.96	
000096	广聚能源	4.97	0.47	石油贸易	30	10.30	--  	10.78	51147	280	          1.00	9.44	11.27	10.78	0.182㈢	    44.42	54498304	  1.79	         55.07亿	深圳	10.30	10.66	21575	29571	  0.73	10.75	144	  2.60	
002012	凯恩股份	3.63	1.68	造纸	55	4.63	--  	4.85	600862	6544	         12.87	5.77	4.90	4.85	0.040㈢	    91.86	286197856	  1.35	         22.65亿	浙江	4.63	4.76	294430	306432	  0.96	4.84	3871	  1.27	
600593	大连圣亚	3.36	1.32	旅游服务	13	29.73	--  	30.80	10144	250	          0.79	3.59	30.80	30.80	0.840㈢	    32.58	30516558	  0.90	         39.67亿	辽宁	29.92	30.08	3444	6700	  0.51	30.77	296	  2.23	
002120	韵达股份	3.08	0.11	仓储物流	2	36.40	--  	37.44	23075	62	          0.74	4.13	37.90	37.43	1.190㈢	    24.27	85953768	  0.67	        116.92亿	浙江	37.28	37.25	10765	12309	  0.87	37.43	5	  0.72	
002699	美盛文化	2.63	0.16	服饰	1060	6.11	--  	6.25	337911	4252	          4.27	4.93	6.41	6.25	0.124㈢	    37.68	212358672	  1.19	         49.41亿	浙江	6.15	6.28	158812	179099	  0.89	6.24	964	  0.26	
002634	棒杰股份	2.43	-0.19	服饰	474	4.91	--  	5.06	60749	1047	          2.25	4.66	5.14	5.06	0.054㈢	    69.89	30778958	  1.04	         13.67亿	浙江	4.91	5.07	30734	30014	  1.02	5.05	767	  0.06	
002418	康盛股份	2.42	0.24	机械基件	1246	4.06	--  	4.25	820812	9075	          8.18	9.18	4.44	4.24	-0.008㈢	--  	347508224	  1.03	         42.55亿	浙江	4.15	4.23	387189	433623	  0.89	4.24	4492	  0.05	
000735	罗 牛 山	2.34	-0.28	农业综合	4914	13.11	--  	13.58	1380111	33212	         13.02	4.68	13.73	13.57	0.338㈢	    30.07	1851764608	  1.05	        143.79亿	海南	13.20	13.42	676054	704056	  0.96	13.57	3383	 -0.03	
002177	御银股份	2.21	-0.23	电脑设备	3834	4.09	--  	4.18	520020	3977	          8.07	6.37	4.35	4.17	0.003㈢	   905.94	218404096	  0.90	         26.88亿	广东	4.19	4.20	264225	255794	  1.03	4.17	2765	 -0.16	
