代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300264	佳创视讯	10.08	0.00	通信设备	12621	6.52	--  	--  	300130	95	          9.42	2.31	6.66	6.66	-0.003㈢	--  	199547824	  2.35	         21.22亿	深圳	6.66	6.65	238209	61920	  3.85	6.66	0	  7.72	
300170	汉得信息	9.99	0.00	软件服务	248140	13.87	--  	--  	32725	1184	          0.47	0.00	13.87	13.87	0.280㈢	    37.34	45389256	  0.11	         96.16亿	上海	13.87	13.87	28070	4654	  6.03	13.87	0	  7.63	
300279	和晶科技	9.98	0.00	元器件	142906	6.39	--  	--  	53453	414	          1.71	0.00	6.39	6.39	-0.089㈢	--  	34156524	  0.28	         19.97亿	江苏	6.39	6.39	43221	10232	  4.22	6.39	0	  7.62	
002512	达华智能	8.54	1.42	元器件	264	5.25	--  	5.73	761013	11084	          8.62	10.44	5.80	5.72	-0.368㈢	--  	423397440	  1.57	         50.52亿	福建	5.25	5.56	329153	431859	  0.76	5.72	785	  6.17	
300020	银江股份	6.58	0.72	软件服务	263	7.96	--  	8.42	353750	4387	          5.63	6.71	8.49	8.42	0.019㈢	   335.03	291571008	  1.46	         52.88亿	浙江	8.10	8.24	164225	189524	  0.87	8.41	1292	  4.22	
300074	华平股份	5.63	0.67	通信设备	1737	4.32	--  	4.50	383877	3513	          7.87	6.34	4.59	4.50	-0.008㈢	--  	170651088	  1.40	         21.96亿	上海	4.35	4.45	169403	214474	  0.79	4.49	1346	  3.27	
300076	GQY视讯	5.33	0.78	电脑设备	160	5.02	--  	5.15	307140	8560	          8.04	3.69	5.20	5.14	0.078㈢	    49.36	156403424	  1.38	         19.63亿	浙江	5.04	5.09	128735	178404	  0.72	5.14	2218	  2.96	
300271	华宇软件	4.11	-0.09	软件服务	147	19.10	--  	19.76	158322	533	          2.83	6.22	20.28	19.76	0.410㈢	    36.59	311335808	  1.04	        110.47亿	北京	19.30	19.66	86138	72183	  1.19	19.75	32	  1.75	
300287	飞利信	3.00	-0.21	软件服务	3344	4.40	--  	4.48	850685	6665	          7.60	5.53	4.64	4.47	0.170㈢	    19.77	382388992	  1.39	         50.01亿	北京	4.41	4.50	401548	449137	  0.89	4.47	636	  0.63	
002230	科大讯飞	2.90	0.03	软件服务	1929	36.37	--  	36.87	952582	5525	          5.23	4.55	38.00	36.87	0.110㈢	   264.09	3547937792	  0.97	        671.87亿	安徽	37.30	37.25	481867	470714	  1.02	36.86	90	  0.54	
600804	鹏博士	2.90	0.61	电信运营	664	9.70	--  	9.95	838924	16276	          5.86	4.55	10.14	9.94	0.239㈢	    31.26	831614848	  0.95	        142.38亿	四川	9.82	9.91	427628	411295	  1.04	9.94	1897	  1.78	
300654	世纪天鸿	2.68	0.29	出版业	30	20.10	--  	21.10	52668	321	          8.47	9.15	21.98	21.10	0.158㈢	   100.16	111659808	  0.91	         13.12亿	山东	20.15	21.20	19073	33595	  0.57	21.09	184	  0.31	
300192	科斯伍德	2.37	-0.20	染料涂料	30	9.27	--  	9.49	79969	586	          4.64	6.69	9.89	9.49	0.354㈢	    20.09	75962776	  1.22	         16.36亿	江苏	9.27	9.50	36931	43037	  0.86	9.48	369	  0.01	
300364	中文在线	2.03	0.00	出版业	226	5.42	--  	5.54	502493	3520	          9.36	8.86	5.90	5.53	0.050㈢	    83.01	280769984	  1.17	         29.67亿	北京	5.46	5.59	263159	239333	  1.10	5.53	4593	 -0.33	
300235	方直科技	1.98	-0.19	软件服务	40	9.61	--  	9.77	65348	322	          6.17	4.91	10.08	9.77	0.125㈢	    58.76	64141792	  1.19	         10.35亿	深圳	9.62	9.82	23548	41799	  0.56	9.76	140	 -0.38	
002549	凯美特气	1.97	0.32	环境保护	539	6.10	--  	6.21	164963	2571	          2.66	3.45	6.31	6.20	0.114㈢	    40.91	102823880	  0.98	         38.45亿	湖南	6.12	6.23	83777	81186	  1.03	6.20	291	 -0.39	
601098	中南传媒	1.80	0.74	出版业	10	13.29	--  	13.55	134524	1021	          0.75	3.01	13.69	13.55	0.484㈢	    20.99	181677312	  1.22	        243.36亿	湖南	13.44	13.51	80972	53552	  1.51	13.54	146	  0.68	
